"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Germany (DE)","01.01.2017 17:00 - 01.01.2017 17:15 (CET/CEST)","1050"
"Germany (DE)","01.01.2017 17:15 - 01.01.2017 17:30 (CET/CEST)","1050"
"Germany (DE)","01.01.2017 17:30 - 01.01.2017 17:45 (CET/CEST)","1050"
"Germany (DE)","01.01.2017 17:45 - 01.01.2017 18:00 (CET/CEST)","1057"
"Germany (DE)","01.01.2017 18:00 - 01.01.2017 18:15 (CET/CEST)","1062"
"Germany (DE)","01.01.2017 18:15 - 01.01.2017 18:30 (CET/CEST)","1064"
"Germany (DE)","01.01.2017 18:30 - 01.01.2017 18:45 (CET/CEST)","1067"
"Germany (DE)","01.01.2017 18:45 - 01.01.2017 19:00 (CET/CEST)","1064"
"Germany (DE)","01.01.2017 19:00 - 01.01.2017 19:15 (CET/CEST)","1063"
"Germany (DE)","01.01.2017 19:15 - 01.01.2017 19:30 (CET/CEST)","1063"
"Germany (DE)","01.01.2017 19:30 - 01.01.2017 19:45 (CET/CEST)","1062"
"Germany (DE)","01.01.2017 19:45 - 01.01.2017 20:00 (CET/CEST)","1061"
"Germany (DE)","01.01.2017 20:00 - 01.01.2017 20:15 (CET/CEST)","1064"
"Germany (DE)","01.01.2017 20:15 - 01.01.2017 20:30 (CET/CEST)","1067"
"Germany (DE)","01.01.2017 20:30 - 01.01.2017 20:45 (CET/CEST)","1068"
"Germany (DE)","01.01.2017 20:45 - 01.01.2017 21:00 (CET/CEST)","1071"
"Germany (DE)","01.01.2017 21:00 - 01.01.2017 21:15 (CET/CEST)","1072"
"Germany (DE)","01.01.2017 21:15 - 01.01.2017 21:30 (CET/CEST)","1073"
"Germany (DE)","01.01.2017 21:30 - 01.01.2017 21:45 (CET/CEST)","1072"
"Germany (DE)","01.01.2017 21:45 - 01.01.2017 22:00 (CET/CEST)","1072"
"Germany (DE)","01.01.2017 22:00 - 01.01.2017 22:15 (CET/CEST)","1074"
"Germany (DE)","01.01.2017 22:15 - 01.01.2017 22:30 (CET/CEST)","1075"
"Germany (DE)","01.01.2017 22:30 - 01.01.2017 22:45 (CET/CEST)","1080"
"Germany (DE)","01.01.2017 22:45 - 01.01.2017 23:00 (CET/CEST)","1089"
"Germany (DE)","01.01.2017 23:00 - 01.01.2017 23:15 (CET/CEST)","1096"
"Germany (DE)","01.01.2017 23:15 - 01.01.2017 23:30 (CET/CEST)","1099"
"Germany (DE)","01.01.2017 23:30 - 01.01.2017 23:45 (CET/CEST)","1101"
"Germany (DE)","01.01.2017 23:45 - 02.01.2017 00:00 (CET/CEST)","1101"
"Germany (DE)","02.01.2017 00:00 - 02.01.2017 00:15 (CET/CEST)","1107"
"Germany (DE)","02.01.2017 00:15 - 02.01.2017 00:30 (CET/CEST)","1112"
"Germany (DE)","02.01.2017 00:30 - 02.01.2017 00:45 (CET/CEST)","1114"
"Germany (DE)","02.01.2017 00:45 - 02.01.2017 01:00 (CET/CEST)","1114"
"Germany (DE)","02.01.2017 01:00 - 02.01.2017 01:15 (CET/CEST)","1110"
"Germany (DE)","02.01.2017 01:15 - 02.01.2017 01:30 (CET/CEST)","1108"
"Germany (DE)","02.01.2017 01:30 - 02.01.2017 01:45 (CET/CEST)","1108"
"Germany (DE)","02.01.2017 01:45 - 02.01.2017 02:00 (CET/CEST)","1105"
"Germany (DE)","02.01.2017 02:00 - 02.01.2017 02:15 (CET/CEST)","1103"
"Germany (DE)","02.01.2017 02:15 - 02.01.2017 02:30 (CET/CEST)","1102"
"Germany (DE)","02.01.2017 02:30 - 02.01.2017 02:45 (CET/CEST)","1098"
"Germany (DE)","02.01.2017 02:45 - 02.01.2017 03:00 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 03:00 - 02.01.2017 03:15 (CET/CEST)","1093"
"Germany (DE)","02.01.2017 03:15 - 02.01.2017 03:30 (CET/CEST)","1098"
"Germany (DE)","02.01.2017 03:30 - 02.01.2017 03:45 (CET/CEST)","1098"
"Germany (DE)","02.01.2017 03:45 - 02.01.2017 04:00 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 04:00 - 02.01.2017 04:15 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 04:15 - 02.01.2017 04:30 (CET/CEST)","1095"
"Germany (DE)","02.01.2017 04:30 - 02.01.2017 04:45 (CET/CEST)","1091"
"Germany (DE)","02.01.2017 04:45 - 02.01.2017 05:00 (CET/CEST)","1086"
"Germany (DE)","02.01.2017 05:00 - 02.01.2017 05:15 (CET/CEST)","1083"
"Germany (DE)","02.01.2017 05:15 - 02.01.2017 05:30 (CET/CEST)","1080"
"Germany (DE)","02.01.2017 05:30 - 02.01.2017 05:45 (CET/CEST)","1082"
"Germany (DE)","02.01.2017 05:45 - 02.01.2017 06:00 (CET/CEST)","1081"
"Germany (DE)","02.01.2017 06:00 - 02.01.2017 06:15 (CET/CEST)","1081"
"Germany (DE)","02.01.2017 06:15 - 02.01.2017 06:30 (CET/CEST)","1082"
"Germany (DE)","02.01.2017 06:30 - 02.01.2017 06:45 (CET/CEST)","1082"
"Germany (DE)","02.01.2017 06:45 - 02.01.2017 07:00 (CET/CEST)","1081"
"Germany (DE)","02.01.2017 07:00 - 02.01.2017 07:15 (CET/CEST)","1075"
"Germany (DE)","02.01.2017 07:15 - 02.01.2017 07:30 (CET/CEST)","1074"
"Germany (DE)","02.01.2017 07:30 - 02.01.2017 07:45 (CET/CEST)","1073"
"Germany (DE)","02.01.2017 07:45 - 02.01.2017 08:00 (CET/CEST)","1073"
"Germany (DE)","02.01.2017 08:00 - 02.01.2017 08:15 (CET/CEST)","1073"
"Germany (DE)","02.01.2017 08:15 - 02.01.2017 08:30 (CET/CEST)","1071"
"Germany (DE)","02.01.2017 08:30 - 02.01.2017 08:45 (CET/CEST)","1069"
"Germany (DE)","02.01.2017 08:45 - 02.01.2017 09:00 (CET/CEST)","1067"
"Germany (DE)","02.01.2017 09:00 - 02.01.2017 09:15 (CET/CEST)","1067"
"Germany (DE)","02.01.2017 09:15 - 02.01.2017 09:30 (CET/CEST)","1063"
"Germany (DE)","02.01.2017 09:30 - 02.01.2017 09:45 (CET/CEST)","1060"
"Germany (DE)","02.01.2017 09:45 - 02.01.2017 10:00 (CET/CEST)","1055"
"Germany (DE)","02.01.2017 10:00 - 02.01.2017 10:15 (CET/CEST)","1051"
"Germany (DE)","02.01.2017 10:15 - 02.01.2017 10:30 (CET/CEST)","1049"
"Germany (DE)","02.01.2017 10:30 - 02.01.2017 10:45 (CET/CEST)","1051"
"Germany (DE)","02.01.2017 10:45 - 02.01.2017 11:00 (CET/CEST)","1050"
"Germany (DE)","02.01.2017 11:00 - 02.01.2017 11:15 (CET/CEST)","1046"
"Germany (DE)","02.01.2017 11:15 - 02.01.2017 11:30 (CET/CEST)","1040"
"Germany (DE)","02.01.2017 11:30 - 02.01.2017 11:45 (CET/CEST)","1035"
"Germany (DE)","02.01.2017 11:45 - 02.01.2017 12:00 (CET/CEST)","1035"
"Germany (DE)","02.01.2017 12:00 - 02.01.2017 12:15 (CET/CEST)","1039"
"Germany (DE)","02.01.2017 12:15 - 02.01.2017 12:30 (CET/CEST)","1039"
"Germany (DE)","02.01.2017 12:30 - 02.01.2017 12:45 (CET/CEST)","1036"
"Germany (DE)","02.01.2017 12:45 - 02.01.2017 13:00 (CET/CEST)","1035"
"Germany (DE)","02.01.2017 13:00 - 02.01.2017 13:15 (CET/CEST)","1033"
"Germany (DE)","02.01.2017 13:15 - 02.01.2017 13:30 (CET/CEST)","1034"
"Germany (DE)","02.01.2017 13:30 - 02.01.2017 13:45 (CET/CEST)","1032"
"Germany (DE)","02.01.2017 13:45 - 02.01.2017 14:00 (CET/CEST)","1037"
"Germany (DE)","02.01.2017 14:00 - 02.01.2017 14:15 (CET/CEST)","1043"
"Germany (DE)","02.01.2017 14:15 - 02.01.2017 14:30 (CET/CEST)","1043"
"Germany (DE)","02.01.2017 14:30 - 02.01.2017 14:45 (CET/CEST)","1046"
"Germany (DE)","02.01.2017 14:45 - 02.01.2017 15:00 (CET/CEST)","1046"
"Germany (DE)","02.01.2017 15:00 - 02.01.2017 15:15 (CET/CEST)","1049"
"Germany (DE)","02.01.2017 15:15 - 02.01.2017 15:30 (CET/CEST)","1056"
"Germany (DE)","02.01.2017 15:30 - 02.01.2017 15:45 (CET/CEST)","1058"
"Germany (DE)","02.01.2017 15:45 - 02.01.2017 16:00 (CET/CEST)","1060"
"Germany (DE)","02.01.2017 16:00 - 02.01.2017 16:15 (CET/CEST)","1063"
"Germany (DE)","02.01.2017 16:15 - 02.01.2017 16:30 (CET/CEST)","1060"
"Germany (DE)","02.01.2017 16:30 - 02.01.2017 16:45 (CET/CEST)","1058"
"Germany (DE)","02.01.2017 16:45 - 02.01.2017 17:00 (CET/CEST)","1057"
"Germany (DE)","02.01.2017 17:00 - 02.01.2017 17:15 (CET/CEST)","1062"
"Germany (DE)","02.01.2017 17:15 - 02.01.2017 17:30 (CET/CEST)","1067"
"Germany (DE)","02.01.2017 17:30 - 02.01.2017 17:45 (CET/CEST)","1081"
"Germany (DE)","02.01.2017 17:45 - 02.01.2017 18:00 (CET/CEST)","1091"
"Germany (DE)","02.01.2017 18:00 - 02.01.2017 18:15 (CET/CEST)","1102"
"Germany (DE)","02.01.2017 18:15 - 02.01.2017 18:30 (CET/CEST)","1109"
"Germany (DE)","02.01.2017 18:30 - 02.01.2017 18:45 (CET/CEST)","1108"
"Germany (DE)","02.01.2017 18:45 - 02.01.2017 19:00 (CET/CEST)","1106"
"Germany (DE)","02.01.2017 19:00 - 02.01.2017 19:15 (CET/CEST)","1101"
"Germany (DE)","02.01.2017 19:15 - 02.01.2017 19:30 (CET/CEST)","1101"
"Germany (DE)","02.01.2017 19:30 - 02.01.2017 19:45 (CET/CEST)","1099"
"Germany (DE)","02.01.2017 19:45 - 02.01.2017 20:00 (CET/CEST)","1093"
"Germany (DE)","02.01.2017 20:00 - 02.01.2017 20:15 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 20:15 - 02.01.2017 20:30 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 20:30 - 02.01.2017 20:45 (CET/CEST)","1093"
"Germany (DE)","02.01.2017 20:45 - 02.01.2017 21:00 (CET/CEST)","1098"
"Germany (DE)","02.01.2017 21:00 - 02.01.2017 21:15 (CET/CEST)","1101"
"Germany (DE)","02.01.2017 21:15 - 02.01.2017 21:30 (CET/CEST)","1102"
"Germany (DE)","02.01.2017 21:30 - 02.01.2017 21:45 (CET/CEST)","1100"
"Germany (DE)","02.01.2017 21:45 - 02.01.2017 22:00 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 22:00 - 02.01.2017 22:15 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 22:15 - 02.01.2017 22:30 (CET/CEST)","1096"
"Germany (DE)","02.01.2017 22:30 - 02.01.2017 22:45 (CET/CEST)","1094"
"Germany (DE)","02.01.2017 22:45 - 02.01.2017 23:00 (CET/CEST)","1095"
"Germany (DE)","02.01.2017 23:00 - 02.01.2017 23:15 (CET/CEST)","1093"
"Germany (DE)","02.01.2017 23:15 - 02.01.2017 23:30 (CET/CEST)","1095"
"Germany (DE)","02.01.2017 23:30 - 02.01.2017 23:45 (CET/CEST)","1093"
"Germany (DE)","02.01.2017 23:45 - 03.01.2017 00:00 (CET/CEST)","1095"
"Germany (DE)","03.01.2017 00:00 - 03.01.2017 00:15 (CET/CEST)","1098"
"Germany (DE)","03.01.2017 00:15 - 03.01.2017 00:30 (CET/CEST)","1102"
"Germany (DE)","03.01.2017 00:30 - 03.01.2017 00:45 (CET/CEST)","1109"
"Germany (DE)","03.01.2017 00:45 - 03.01.2017 01:00 (CET/CEST)","1110"
"Germany (DE)","03.01.2017 01:00 - 03.01.2017 01:15 (CET/CEST)","1112"
"Germany (DE)","03.01.2017 01:15 - 03.01.2017 01:30 (CET/CEST)","1115"
"Germany (DE)","03.01.2017 01:30 - 03.01.2017 01:45 (CET/CEST)","1114"
"Germany (DE)","03.01.2017 01:45 - 03.01.2017 02:00 (CET/CEST)","1109"
"Germany (DE)","03.01.2017 02:00 - 03.01.2017 02:15 (CET/CEST)","1102"
"Germany (DE)","03.01.2017 02:15 - 03.01.2017 02:30 (CET/CEST)","1100"
"Germany (DE)","03.01.2017 02:30 - 03.01.2017 02:45 (CET/CEST)","1097"
"Germany (DE)","03.01.2017 02:45 - 03.01.2017 03:00 (CET/CEST)","1096"
"Germany (DE)","03.01.2017 03:00 - 03.01.2017 03:15 (CET/CEST)","1094"
"Germany (DE)","03.01.2017 03:15 - 03.01.2017 03:30 (CET/CEST)","1093"
"Germany (DE)","03.01.2017 03:30 - 03.01.2017 03:45 (CET/CEST)","1094"
"Germany (DE)","03.01.2017 03:45 - 03.01.2017 04:00 (CET/CEST)","1094"
"Germany (DE)","03.01.2017 04:00 - 03.01.2017 04:15 (CET/CEST)","1092"
"Germany (DE)","03.01.2017 04:15 - 03.01.2017 04:30 (CET/CEST)","1090"
"Germany (DE)","03.01.2017 04:30 - 03.01.2017 04:45 (CET/CEST)","1096"
"Germany (DE)","03.01.2017 04:45 - 03.01.2017 05:00 (CET/CEST)","1096"
"Germany (DE)","03.01.2017 05:00 - 03.01.2017 05:15 (CET/CEST)","1097"
"Germany (DE)","03.01.2017 05:15 - 03.01.2017 05:30 (CET/CEST)","1100"
"Germany (DE)","03.01.2017 05:30 - 03.01.2017 05:45 (CET/CEST)","1097"
"Germany (DE)","03.01.2017 05:45 - 03.01.2017 06:00 (CET/CEST)","1098"
"Germany (DE)","03.01.2017 06:00 - 03.01.2017 06:15 (CET/CEST)","1095"
"Germany (DE)","03.01.2017 06:15 - 03.01.2017 06:30 (CET/CEST)","1092"
"Germany (DE)","03.01.2017 06:30 - 03.01.2017 06:45 (CET/CEST)","1092"
"Germany (DE)","03.01.2017 06:45 - 03.01.2017 07:00 (CET/CEST)","1092"
"Germany (DE)","03.01.2017 07:00 - 03.01.2017 07:15 (CET/CEST)","1086"
"Germany (DE)","03.01.2017 07:15 - 03.01.2017 07:30 (CET/CEST)","1086"
"Germany (DE)","03.01.2017 07:30 - 03.01.2017 07:45 (CET/CEST)","1084"
"Germany (DE)","03.01.2017 07:45 - 03.01.2017 08:00 (CET/CEST)","1088"
"Germany (DE)","03.01.2017 08:00 - 03.01.2017 08:15 (CET/CEST)","1091"
"Germany (DE)","03.01.2017 08:15 - 03.01.2017 08:30 (CET/CEST)","1090"
"Germany (DE)","03.01.2017 08:30 - 03.01.2017 08:45 (CET/CEST)","1088"
"Germany (DE)","03.01.2017 08:45 - 03.01.2017 09:00 (CET/CEST)","1090"
"Germany (DE)","03.01.2017 09:00 - 03.01.2017 09:15 (CET/CEST)","1093"
"Germany (DE)","03.01.2017 09:15 - 03.01.2017 09:30 (CET/CEST)","1095"
"Germany (DE)","03.01.2017 09:30 - 03.01.2017 09:45 (CET/CEST)","1096"
"Germany (DE)","03.01.2017 09:45 - 03.01.2017 10:00 (CET/CEST)","1099"
"Germany (DE)","03.01.2017 10:00 - 03.01.2017 10:15 (CET/CEST)","1098"
"Germany (DE)","03.01.2017 10:15 - 03.01.2017 10:30 (CET/CEST)","1095"
"Germany (DE)","03.01.2017 10:30 - 03.01.2017 10:45 (CET/CEST)","1094"
"Germany (DE)","03.01.2017 10:45 - 03.01.2017 11:00 (CET/CEST)","1090"
"Germany (DE)","03.01.2017 11:00 - 03.01.2017 11:15 (CET/CEST)","1089"
"Germany (DE)","03.01.2017 11:15 - 03.01.2017 11:30 (CET/CEST)","1088"
"Germany (DE)","03.01.2017 11:30 - 03.01.2017 11:45 (CET/CEST)","1088"
"Germany (DE)","03.01.2017 11:45 - 03.01.2017 12:00 (CET/CEST)","1086"
"Germany (DE)","03.01.2017 12:00 - 03.01.2017 12:15 (CET/CEST)","1080"
"Germany (DE)","03.01.2017 12:15 - 03.01.2017 12:30 (CET/CEST)","1074"
"Germany (DE)","03.01.2017 12:30 - 03.01.2017 12:45 (CET/CEST)","1075"
"Germany (DE)","03.01.2017 12:45 - 03.01.2017 13:00 (CET/CEST)","1076"
"Germany (DE)","03.01.2017 13:00 - 03.01.2017 13:15 (CET/CEST)","1074"
"Germany (DE)","03.01.2017 13:15 - 03.01.2017 13:30 (CET/CEST)","1073"
"Germany (DE)","03.01.2017 13:30 - 03.01.2017 13:45 (CET/CEST)","1073"
"Germany (DE)","03.01.2017 13:45 - 03.01.2017 14:00 (CET/CEST)","1076"
"Germany (DE)","03.01.2017 14:00 - 03.01.2017 14:15 (CET/CEST)","1077"
"Germany (DE)","03.01.2017 14:15 - 03.01.2017 14:30 (CET/CEST)","1074"
"Germany (DE)","03.01.2017 14:30 - 03.01.2017 14:45 (CET/CEST)","1074"
"Germany (DE)","03.01.2017 14:45 - 03.01.2017 15:00 (CET/CEST)","1072"
"Germany (DE)","03.01.2017 15:00 - 03.01.2017 15:15 (CET/CEST)","1070"
"Germany (DE)","03.01.2017 15:15 - 03.01.2017 15:30 (CET/CEST)","1073"
"Germany (DE)","03.01.2017 15:30 - 03.01.2017 15:45 (CET/CEST)","1077"
"Germany (DE)","03.01.2017 15:45 - 03.01.2017 16:00 (CET/CEST)","1073"
"Germany (DE)","03.01.2017 16:00 - 03.01.2017 16:15 (CET/CEST)","1077"
"Germany (DE)","03.01.2017 16:15 - 03.01.2017 16:30 (CET/CEST)","1078"
"Germany (DE)","03.01.2017 16:30 - 03.01.2017 16:45 (CET/CEST)","1070"
"Germany (DE)","03.01.2017 16:45 - 03.01.2017 17:00 (CET/CEST)","1071"
"Germany (DE)","03.01.2017 17:00 - 03.01.2017 17:15 (CET/CEST)","1071"
"Germany (DE)","03.01.2017 17:15 - 03.01.2017 17:30 (CET/CEST)","1069"
"Germany (DE)","03.01.2017 17:30 - 03.01.2017 17:45 (CET/CEST)","1068"
"Germany (DE)","03.01.2017 17:45 - 03.01.2017 18:00 (CET/CEST)","1067"
"Germany (DE)","03.01.2017 18:00 - 03.01.2017 18:15 (CET/CEST)","1072"
"Germany (DE)","03.01.2017 18:15 - 03.01.2017 18:30 (CET/CEST)","1072"
"Germany (DE)","03.01.2017 18:30 - 03.01.2017 18:45 (CET/CEST)","1072"
"Germany (DE)","03.01.2017 18:45 - 03.01.2017 19:00 (CET/CEST)","1067"
"Germany (DE)","03.01.2017 19:00 - 03.01.2017 19:15 (CET/CEST)","1062"
"Germany (DE)","03.01.2017 19:15 - 03.01.2017 19:30 (CET/CEST)","1060"
"Germany (DE)","03.01.2017 19:30 - 03.01.2017 19:45 (CET/CEST)","1058"
"Germany (DE)","03.01.2017 19:45 - 03.01.2017 20:00 (CET/CEST)","1059"
"Germany (DE)","03.01.2017 20:00 - 03.01.2017 20:15 (CET/CEST)","1060"
"Germany (DE)","03.01.2017 20:15 - 03.01.2017 20:30 (CET/CEST)","1059"
"Germany (DE)","03.01.2017 20:30 - 03.01.2017 20:45 (CET/CEST)","1058"
"Germany (DE)","03.01.2017 20:45 - 03.01.2017 21:00 (CET/CEST)","1057"
"Germany (DE)","03.01.2017 21:00 - 03.01.2017 21:15 (CET/CEST)","1052"
"Germany (DE)","03.01.2017 21:15 - 03.01.2017 21:30 (CET/CEST)","1047"
"Germany (DE)","03.01.2017 21:30 - 03.01.2017 21:45 (CET/CEST)","1040"
"Germany (DE)","03.01.2017 21:45 - 03.01.2017 22:00 (CET/CEST)","1033"
"Germany (DE)","03.01.2017 22:00 - 03.01.2017 22:15 (CET/CEST)","1034"
"Germany (DE)","03.01.2017 22:15 - 03.01.2017 22:30 (CET/CEST)","1037"
"Germany (DE)","03.01.2017 22:30 - 03.01.2017 22:45 (CET/CEST)","1039"
"Germany (DE)","03.01.2017 22:45 - 03.01.2017 23:00 (CET/CEST)","1043"
"Germany (DE)","03.01.2017 23:00 - 03.01.2017 23:15 (CET/CEST)","1045"
