"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","377","102","46"
"Portugal (PT)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","369","65","79"
"Portugal (PT)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","339","255","79"
"Portugal (PT)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","602","668","119"
"Portugal (PT)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","273","759","67"
"Portugal (PT)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","48","895","67"
"Portugal (PT)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","0","1361","67"
"Portugal (PT)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","0","1675","70"
"Portugal (PT)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","0","1919","70"
"Portugal (PT)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","0","1790","73"
"Portugal (PT)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","0","1728","127"
"Portugal (PT)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","0","1966","113"
"Portugal (PT)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","0","1605","113"
"Portugal (PT)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","0","1409","66"
"Portugal (PT)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","0","1430","61"
"Portugal (PT)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","0","1364","66"
"Portugal (PT)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","0","1300","66"
"Portugal (PT)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","74","1159","66"
"Portugal (PT)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","119","1051","102"
"Portugal (PT)","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","351","403","113"
"Portugal (PT)","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","424","385","117"
"Portugal (PT)","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","328","70","81"
"Portugal (PT)","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","412","72","46"
"Portugal (PT)","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","338","433","46"
"Portugal (PT)","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","107","1107","46"
"Portugal (PT)","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","165","1246","75"
"Portugal (PT)","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","0","1103","69"
"Portugal (PT)","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","0","1210","66"
"Portugal (PT)","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","0","1270","39"
"Portugal (PT)","02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","0","1073","39"
"Portugal (PT)","02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","74","878","40"
"Portugal (PT)","02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","28","202","85"
"Portugal (PT)","02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","991","188","109"
"Portugal (PT)","02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","1205","52","169"
"Portugal (PT)","02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","1400","0","251"
"Portugal (PT)","02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","1225","1","233"
"Portugal (PT)","02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","1105","1","206"
"Portugal (PT)","02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","1092","1","173"
"Portugal (PT)","02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","892","2","107"
"Portugal (PT)","02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","591","3","62"
"Portugal (PT)","02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","559","4","87"
"Portugal (PT)","02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","1262","1","102"
"Portugal (PT)","02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","1466","1","132"
"Portugal (PT)","02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","1666","1","144"
"Portugal (PT)","02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","1629","1","353"
"Portugal (PT)","02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","1384","1","131"
"Portugal (PT)","02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","1331","1","103"
"Portugal (PT)","02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","726","155","13"
"Portugal (PT)","03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","198","749","66"
"Portugal (PT)","03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","256","1140","68"
"Portugal (PT)","03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","69","1261","68"
"Portugal (PT)","03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","0","1456","68"
"Portugal (PT)","03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","0","1452","70"
"Portugal (PT)","03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","1","1202","71"
"Portugal (PT)","03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","70","776","68"
"Portugal (PT)","03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","235","583","62"
"Portugal (PT)","03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","1567","41","91"
"Portugal (PT)","03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","1571","1","177"
"Portugal (PT)","03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","1623","1","308"
"Portugal (PT)","03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","1421","1","295"
"Portugal (PT)","03.01.2018 12:00 - 03.01.2018 13:00 (CET/CEST)","1596","1","138"
"Portugal (PT)","03.01.2018 13:00 - 03.01.2018 14:00 (CET/CEST)","1594","1","161"
