"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","197","2","197"
"Portugal (PT)","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","128","2","74"
"Portugal (PT)","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","1","48","104"
"Portugal (PT)","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","0","170","98"
"Portugal (PT)","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","0","120","69"
"Portugal (PT)","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","0","632","68"
"Portugal (PT)","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","0","643","68"
"Portugal (PT)","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","0","675","67"
"Portugal (PT)","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","0","907","69"
"Portugal (PT)","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","0","992","80"
"Portugal (PT)","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","0","960","106"
"Portugal (PT)","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","0","544","108"
"Portugal (PT)","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","0","439","71"
"Portugal (PT)","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","0","817","109"
"Portugal (PT)","01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","0","978","122"
"Portugal (PT)","01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","0","1049","77"
"Portugal (PT)","01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","0","1011","68"
"Portugal (PT)","01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","0","763","79"
"Portugal (PT)","01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","299","17","109"
"Portugal (PT)","01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","740","1","197"
"Portugal (PT)","01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","507","1","145"
"Portugal (PT)","01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","301","1","104"
"Portugal (PT)","01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","512","24","104"
"Portugal (PT)","01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","4","105","85"
"Portugal (PT)","02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST)","0","574","81"
"Portugal (PT)","02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST)","0","799","79"
"Portugal (PT)","02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST)","21","1056","25"
"Portugal (PT)","02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST)","40","947","3"
"Portugal (PT)","02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST)","10","924","4"
"Portugal (PT)","02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST)","56","807","3"
"Portugal (PT)","02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST)","55","715","4"
"Portugal (PT)","02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST)","55","610","5"
"Portugal (PT)","02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST)","16","328","51"
"Portugal (PT)","02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST)","2","467","74"
"Portugal (PT)","02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST)","349","6","208"
"Portugal (PT)","02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST)","489","6","232"
"Portugal (PT)","02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST)","229","6","180"
"Portugal (PT)","02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST)","300","6","179"
"Portugal (PT)","02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST)","347","5","181"
"Portugal (PT)","02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST)","200","152","117"
"Portugal (PT)","02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST)","434","190","144"
"Portugal (PT)","02.01.2016 17:00 - 02.01.2016 18:00 (CET/CEST)","595","187","131"
"Portugal (PT)","02.01.2016 18:00 - 02.01.2016 19:00 (CET/CEST)","775","84","309"
"Portugal (PT)","02.01.2016 19:00 - 02.01.2016 20:00 (CET/CEST)","1008","3","749"
"Portugal (PT)","02.01.2016 20:00 - 02.01.2016 21:00 (CET/CEST)","1152","1","1099"
"Portugal (PT)","02.01.2016 21:00 - 02.01.2016 22:00 (CET/CEST)","1104","1","1050"
"Portugal (PT)","02.01.2016 22:00 - 02.01.2016 23:00 (CET/CEST)","969","1","648"
"Portugal (PT)","02.01.2016 23:00 - 03.01.2016 00:00 (CET/CEST)","531","1","288"
"Portugal (PT)","03.01.2016 00:00 - 03.01.2016 01:00 (CET/CEST)","64","44","144"
"Portugal (PT)","03.01.2016 01:00 - 03.01.2016 02:00 (CET/CEST)","0","501","103"
"Portugal (PT)","03.01.2016 02:00 - 03.01.2016 03:00 (CET/CEST)","0","554","136"
"Portugal (PT)","03.01.2016 03:00 - 03.01.2016 04:00 (CET/CEST)","0","431","141"
"Portugal (PT)","03.01.2016 04:00 - 03.01.2016 05:00 (CET/CEST)","0","513","140"
"Portugal (PT)","03.01.2016 05:00 - 03.01.2016 06:00 (CET/CEST)","0","573","140"
"Portugal (PT)","03.01.2016 06:00 - 03.01.2016 07:00 (CET/CEST)","0","617","141"
"Portugal (PT)","03.01.2016 07:00 - 03.01.2016 08:00 (CET/CEST)","0","796","130"
"Portugal (PT)","03.01.2016 08:00 - 03.01.2016 09:00 (CET/CEST)","0","797","124"
"Portugal (PT)","03.01.2016 09:00 - 03.01.2016 10:00 (CET/CEST)","24","796","129"
"Portugal (PT)","03.01.2016 10:00 - 03.01.2016 11:00 (CET/CEST)","53","718","171"
"Portugal (PT)","03.01.2016 11:00 - 03.01.2016 12:00 (CET/CEST)","222","73","192"
"Portugal (PT)","03.01.2016 12:00 - 03.01.2016 13:00 (CET/CEST)","336","5","173"
"Portugal (PT)","03.01.2016 13:00 - 03.01.2016 14:00 (CET/CEST)","126","14","156"
"Portugal (PT)","03.01.2016 14:00 - 03.01.2016 15:00 (CET/CEST)","41","528","150"
"Portugal (PT)","03.01.2016 15:00 - 03.01.2016 16:00 (CET/CEST)","43","548","193"
"Portugal (PT)","03.01.2016 16:00 - 03.01.2016 17:00 (CET/CEST)","53","526","210"
"Portugal (PT)","03.01.2016 17:00 - 03.01.2016 18:00 (CET/CEST)","143","223","153"
"Portugal (PT)","03.01.2016 18:00 - 03.01.2016 19:00 (CET/CEST)","377","169","143"
"Portugal (PT)","03.01.2016 19:00 - 03.01.2016 20:00 (CET/CEST)","482","217","230"
"Portugal (PT)","03.01.2016 20:00 - 03.01.2016 21:00 (CET/CEST)","508","209","206"
"Portugal (PT)","03.01.2016 21:00 - 03.01.2016 22:00 (CET/CEST)","687","180","206"
"Portugal (PT)","03.01.2016 22:00 - 03.01.2016 23:00 (CET/CEST)","587","170","197"
"Portugal (PT)","03.01.2016 23:00 - 04.01.2016 00:00 (CET/CEST)","213","589","109"
"Portugal (PT)","04.01.2016 00:00 - 04.01.2016 01:00 (CET/CEST)","295","408","109"
