"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","65","4","278"
"Portugal (PT)","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","7","4","283"
"Portugal (PT)","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","32","3","315"
"Portugal (PT)","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","719","2","447"
"Portugal (PT)","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","1290","3","596"
"Portugal (PT)","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","1364","6","703"
"Portugal (PT)","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","1030","6","534"
"Portugal (PT)","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","1161","9","478"
"Portugal (PT)","03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","836","12","439"
"Portugal (PT)","03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","457","13","439"
"Portugal (PT)","04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","152","5","374"
"Portugal (PT)","04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","0","3","264"
"Portugal (PT)","04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","0","14","259"
"Portugal (PT)","04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","0","114","293"
"Portugal (PT)","04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST)","0","11","363"
"Portugal (PT)","04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST)","0","21","400"
"Portugal (PT)","04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST)","18","24","420"
"Portugal (PT)","04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST)","603","7","785"
"Portugal (PT)","04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST)","1576","1","959"
"Portugal (PT)","04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST)","2150","0","1021"
"Portugal (PT)","04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST)","2091","0","1099"
"Portugal (PT)","04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST)","1683","1","1082"
"Portugal (PT)","04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST)","1642","1","780"
"Portugal (PT)","04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST)","1564","1","777"
"Portugal (PT)","04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST)","514","3","741"
"Portugal (PT)","04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST)","655","2","748"
"Portugal (PT)","04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST)","854","2","743"
"Portugal (PT)","04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST)","1831","1","1107"
"Portugal (PT)","04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST)","2199","0","1158"
"Portugal (PT)","04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST)","2296","0","1187"
"Portugal (PT)","04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST)","1980","1","1194"
"Portugal (PT)","04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST)","1973","0","982"
"Portugal (PT)","04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST)","1327","1","579"
"Portugal (PT)","04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST)","844","2","497"
"Portugal (PT)","05.01.2021 00:00 - 05.01.2021 01:00 (CET/CEST)","90","11","392"
"Portugal (PT)","05.01.2021 01:00 - 05.01.2021 02:00 (CET/CEST)","23","223","108"
"Portugal (PT)","05.01.2021 02:00 - 05.01.2021 03:00 (CET/CEST)","3","158","135"
"Portugal (PT)","05.01.2021 03:00 - 05.01.2021 04:00 (CET/CEST)","0","235","134"
"Portugal (PT)","05.01.2021 04:00 - 05.01.2021 05:00 (CET/CEST)","0","333","131"
"Portugal (PT)","05.01.2021 05:00 - 05.01.2021 06:00 (CET/CEST)","0","351","131"
"Portugal (PT)","05.01.2021 06:00 - 05.01.2021 07:00 (CET/CEST)","0","238","140"
"Portugal (PT)","05.01.2021 07:00 - 05.01.2021 08:00 (CET/CEST)","385","5","612"
"Portugal (PT)","05.01.2021 08:00 - 05.01.2021 09:00 (CET/CEST)","1099","2","774"
"Portugal (PT)","05.01.2021 09:00 - 05.01.2021 10:00 (CET/CEST)","1540","1","1145"
"Portugal (PT)","05.01.2021 10:00 - 05.01.2021 11:00 (CET/CEST)","1875","0","1222"
"Portugal (PT)","05.01.2021 11:00 - 05.01.2021 12:00 (CET/CEST)","1380","1","1117"
