"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2023 00:00 - 01.01.2023 01:00 (CET/CEST)","445","61","664"
"Portugal (PT)","01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)","358","130","727"
"Portugal (PT)","01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)","78","395","648"
"Portugal (PT)","01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)","78","812","597"
"Portugal (PT)","01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)","64","1130","586"
"Portugal (PT)","01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)","0","1368","514"
"Portugal (PT)","01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)","0","1370","473"
"Portugal (PT)","01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)","0","1367","470"
"Portugal (PT)","01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)","0","1122","458"
"Portugal (PT)","01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)","0","1078","489"
"Portugal (PT)","01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)","0","995","607"
"Portugal (PT)","01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)","0","631","737"
"Portugal (PT)","01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)","126","508","1060"
"Portugal (PT)","01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)","283","284","691"
"Portugal (PT)","01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)","375","461","657"
"Portugal (PT)","01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)","209","549","688"
"Portugal (PT)","01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)","502","117","784"
"Portugal (PT)","01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)","649","61","1070"
"Portugal (PT)","01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)","1561","60","1314"
"Portugal (PT)","01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)","2459","59","1369"
"Portugal (PT)","01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)","2526","59","1350"
"Portugal (PT)","01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)","2279","153","1304"
"Portugal (PT)","01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)","1910","243","1315"
"Portugal (PT)","01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)","1611","291","1358"
"Portugal (PT)","02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)","890","404","889"
"Portugal (PT)","02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)","850","404","892"
"Portugal (PT)","02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)","722","382","941"
"Portugal (PT)","02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)","810","336","913"
"Portugal (PT)","02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)","904","404","889"
"Portugal (PT)","02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)","840","389","834"
"Portugal (PT)","02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)","890","84","934"
"Portugal (PT)","02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)","845","165","1014"
"Portugal (PT)","02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)","1462","61","1169"
"Portugal (PT)","02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)","1648","60","1314"
"Portugal (PT)","02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)","1631","62","1295"
"Portugal (PT)","02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)","1387","243","1274"
"Portugal (PT)","02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)","1434","289","1280"
"Portugal (PT)","02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)","1454","298","1256"
"Portugal (PT)","02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)","1455","345","1308"
"Portugal (PT)","02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)","1451","244","1301"
"Portugal (PT)","02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)","1520","59","1334"
"Portugal (PT)","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","1904","1","1316"
"Portugal (PT)","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","1872","1","1279"
"Portugal (PT)","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","2014","1","1267"
"Portugal (PT)","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","1961","1","1294"
"Portugal (PT)","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","1818","1","1289"
"Portugal (PT)","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","1641","1","1288"
"Portugal (PT)","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","1414","1","1229"
"Portugal (PT)","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","679","35","1132"
