"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"France (FR)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","630","","1107"
"France (FR)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","574","","901"
"France (FR)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","","127","802"
"France (FR)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","","1290","937"
"France (FR)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","","1623","1000"
"France (FR)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","","2512","669"
"France (FR)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","","2653","814"
"France (FR)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","","2562","1488"
"France (FR)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","","2530","690"
"France (FR)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","","2468","448"
"France (FR)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","","2125","504"
"France (FR)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","","1765","584"
"France (FR)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","","307","741"
"France (FR)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","","730","1077"
"France (FR)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","","1553","1279"
"France (FR)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","","1405","1171"
"France (FR)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","","349","1025"
"France (FR)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","586","","1389"
"France (FR)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","1082","","2228"
"France (FR)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","1028","","1953"
"France (FR)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","634","","2076"
"France (FR)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","258","","1283"
"France (FR)","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","254","","748"
"France (FR)","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","466","","687"
"France (FR)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","341","","838"
"France (FR)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","","333","470"
"France (FR)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","","1167","335"
"France (FR)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","","2578","663"
"France (FR)","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","","2880","1100"
"France (FR)","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","","2781","659"
"France (FR)","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","","1478","723"
"France (FR)","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","","322","426"
"France (FR)","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","301","","707"
"France (FR)","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","398","","1072"
"France (FR)","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","642","","1796"
"France (FR)","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","839","","2055"
"France (FR)","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","929","","2840"
"France (FR)","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","1017","","2887"
"France (FR)","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","737","","2144"
"France (FR)","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","665","","2135"
"France (FR)","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","1103","","2037"
"France (FR)","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","1373","","1972"
"France (FR)","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","1503","","2670"
"France (FR)","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","1502","","2653"
"France (FR)","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","1045","","2730"
"France (FR)","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","678","","1611"
"France (FR)","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","572","","1215"
"France (FR)","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","399","","940"
"France (FR)","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","","653","1513"
