"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","n/e","n/e","4998"
"Sweden (SE)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","n/e","n/e","4407"
"Sweden (SE)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","n/e","n/e","4291"
"Sweden (SE)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","n/e","n/e","4259"
"Sweden (SE)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","n/e","n/e","4242"
"Sweden (SE)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","n/e","n/e","4376"
"Sweden (SE)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","n/e","n/e","4638"
"Sweden (SE)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","n/e","n/e","5051"
"Sweden (SE)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","n/e","n/e","5454"
"Sweden (SE)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","n/e","n/e","5895"
"Sweden (SE)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","n/e","n/e","6725"
"Sweden (SE)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","n/e","n/e","7081"
"Sweden (SE)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","n/e","n/e","7340"
"Sweden (SE)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","n/e","n/e","7461"
"Sweden (SE)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","n/e","n/e","7703"
"Sweden (SE)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","n/e","n/e","8112"
"Sweden (SE)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","n/e","n/e","8496"
"Sweden (SE)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","n/e","n/e","8655"
"Sweden (SE)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","n/e","n/e","8563"
"Sweden (SE)","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","n/e","n/e","8517"
"Sweden (SE)","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","n/e","n/e","8193"
"Sweden (SE)","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","n/e","n/e","8158"
"Sweden (SE)","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","n/e","n/e","7753"
"Sweden (SE)","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","n/e","n/e","6679"
"Sweden (SE)","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","n/e","n/e","5262"
"Sweden (SE)","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","n/e","n/e","4989"
"Sweden (SE)","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","n/e","n/e","4908"
"Sweden (SE)","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","n/e","n/e","4859"
"Sweden (SE)","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","n/e","n/e","5354"
"Sweden (SE)","02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","n/e","n/e","6135"
"Sweden (SE)","02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","n/e","n/e","8340"
