"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","n/e","n/e","7587"
"Sweden (SE)","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","n/e","n/e","7015"
"Sweden (SE)","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","n/e","n/e","7086"
"Sweden (SE)","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","n/e","n/e","7088"
"Sweden (SE)","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","n/e","n/e","6746"
"Sweden (SE)","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","n/e","n/e","7173"
"Sweden (SE)","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","n/e","n/e","7497"
"Sweden (SE)","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","n/e","n/e","7973"
"Sweden (SE)","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","n/e","n/e","8820"
"Sweden (SE)","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","n/e","n/e","9060"
"Sweden (SE)","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","n/e","n/e","9220"
"Sweden (SE)","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","n/e","n/e","9253"
"Sweden (SE)","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","n/e","n/e","9218"
"Sweden (SE)","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","n/e","n/e","9238"
"Sweden (SE)","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","n/e","n/e","9409"
"Sweden (SE)","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","n/e","n/e","9813"
"Sweden (SE)","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","n/e","n/e","10094"
"Sweden (SE)","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","n/e","n/e","10115"
"Sweden (SE)","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","n/e","n/e","9945"
"Sweden (SE)","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","n/e","n/e","9775"
