"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","n/e","n/e","4284"
"Sweden (SE)","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","n/e","n/e","3731"
"Sweden (SE)","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","n/e","n/e","3663"
"Sweden (SE)","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","n/e","n/e","3620"
"Sweden (SE)","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","n/e","n/e","3725"
"Sweden (SE)","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","n/e","n/e","4028"
"Sweden (SE)","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","n/e","n/e","4120"
"Sweden (SE)","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","n/e","n/e","4482"
"Sweden (SE)","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","n/e","n/e","4693"
"Sweden (SE)","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","n/e","n/e","4577"
"Sweden (SE)","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","n/e","n/e","4661"
"Sweden (SE)","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","n/e","n/e","4580"
"Sweden (SE)","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","n/e","n/e","4881"
"Sweden (SE)","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","n/e","n/e","4954"
"Sweden (SE)","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","n/e","n/e","5229"
"Sweden (SE)","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","n/e","n/e","5632"
"Sweden (SE)","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","n/e","n/e","6281"
"Sweden (SE)","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","n/e","n/e","6264"
"Sweden (SE)","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","n/e","n/e","5766"
"Sweden (SE)","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","n/e","n/e","5512"
"Sweden (SE)","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","n/e","n/e","5160"
"Sweden (SE)","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","n/e","n/e","4986"
"Sweden (SE)","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","n/e","n/e","4656"
"Sweden (SE)","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","n/e","n/e","4294"
"Sweden (SE)","02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","n/e","n/e","3865"
"Sweden (SE)","02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","n/e","n/e","3514"
"Sweden (SE)","02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","n/e","n/e","3524"
"Sweden (SE)","02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","n/e","n/e","3537"
"Sweden (SE)","02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","n/e","n/e","3610"
"Sweden (SE)","02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","n/e","n/e","4471"
"Sweden (SE)","02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","n/e","n/e","5461"
"Sweden (SE)","02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","n/e","n/e","6217"
"Sweden (SE)","02.01.2020 08:00 - 02.01.2020 09:00 (CET/CEST)","n/e","n/e","6684"
"Sweden (SE)","02.01.2020 09:00 - 02.01.2020 10:00 (CET/CEST)","n/e","n/e","6907"
"Sweden (SE)","02.01.2020 10:00 - 02.01.2020 11:00 (CET/CEST)","n/e","n/e","6945"
"Sweden (SE)","02.01.2020 11:00 - 02.01.2020 12:00 (CET/CEST)","n/e","n/e","6916"
"Sweden (SE)","02.01.2020 12:00 - 02.01.2020 13:00 (CET/CEST)","n/e","n/e","6896"
"Sweden (SE)","02.01.2020 13:00 - 02.01.2020 14:00 (CET/CEST)","n/e","n/e","6880"
"Sweden (SE)","02.01.2020 14:00 - 02.01.2020 15:00 (CET/CEST)","n/e","n/e","7145"
"Sweden (SE)","02.01.2020 15:00 - 02.01.2020 16:00 (CET/CEST)","n/e","n/e","7370"
"Sweden (SE)","02.01.2020 16:00 - 02.01.2020 17:00 (CET/CEST)","n/e","n/e","7569"
"Sweden (SE)","02.01.2020 17:00 - 02.01.2020 18:00 (CET/CEST)","n/e","n/e","7451"
"Sweden (SE)","02.01.2020 18:00 - 02.01.2020 19:00 (CET/CEST)","n/e","n/e","7192"
"Sweden (SE)","02.01.2020 19:00 - 02.01.2020 20:00 (CET/CEST)","n/e","n/e","6817"
"Sweden (SE)","02.01.2020 20:00 - 02.01.2020 21:00 (CET/CEST)","n/e","n/e","6252"
"Sweden (SE)","02.01.2020 21:00 - 02.01.2020 22:00 (CET/CEST)","n/e","n/e","5658"
"Sweden (SE)","02.01.2020 22:00 - 02.01.2020 23:00 (CET/CEST)","n/e","n/e","5090"
"Sweden (SE)","02.01.2020 23:00 - 03.01.2020 00:00 (CET/CEST)","n/e","n/e","4095"
"Sweden (SE)","03.01.2020 00:00 - 03.01.2020 01:00 (CET/CEST)","n/e","n/e","3657"
"Sweden (SE)","03.01.2020 01:00 - 03.01.2020 02:00 (CET/CEST)","n/e","n/e","3257"
"Sweden (SE)","03.01.2020 02:00 - 03.01.2020 03:00 (CET/CEST)","n/e","n/e","3113"
"Sweden (SE)","03.01.2020 03:00 - 03.01.2020 04:00 (CET/CEST)","n/e","n/e","3066"
"Sweden (SE)","03.01.2020 04:00 - 03.01.2020 05:00 (CET/CEST)","n/e","n/e","3110"
"Sweden (SE)","03.01.2020 05:00 - 03.01.2020 06:00 (CET/CEST)","n/e","n/e","3976"
"Sweden (SE)","03.01.2020 06:00 - 03.01.2020 07:00 (CET/CEST)","n/e","n/e","4551"
"Sweden (SE)","03.01.2020 07:00 - 03.01.2020 08:00 (CET/CEST)","n/e","n/e","5356"
"Sweden (SE)","03.01.2020 08:00 - 03.01.2020 09:00 (CET/CEST)","n/e","n/e","5938"
"Sweden (SE)","03.01.2020 09:00 - 03.01.2020 10:00 (CET/CEST)","n/e","n/e","5934"
"Sweden (SE)","03.01.2020 10:00 - 03.01.2020 11:00 (CET/CEST)","n/e","n/e","6021"
"Sweden (SE)","03.01.2020 11:00 - 03.01.2020 12:00 (CET/CEST)","n/e","n/e","6211"
"Sweden (SE)","03.01.2020 12:00 - 03.01.2020 13:00 (CET/CEST)","n/e","n/e","6449"
"Sweden (SE)","03.01.2020 13:00 - 03.01.2020 14:00 (CET/CEST)","n/e","n/e","6525"
"Sweden (SE)","03.01.2020 14:00 - 03.01.2020 15:00 (CET/CEST)","n/e","n/e","6728"
"Sweden (SE)","03.01.2020 15:00 - 03.01.2020 16:00 (CET/CEST)","n/e","n/e","7345"
"Sweden (SE)","03.01.2020 16:00 - 03.01.2020 17:00 (CET/CEST)","n/e","n/e","7583"
"Sweden (SE)","03.01.2020 17:00 - 03.01.2020 18:00 (CET/CEST)","n/e","n/e","7560"
"Sweden (SE)","03.01.2020 18:00 - 03.01.2020 19:00 (CET/CEST)","n/e","n/e","7216"
"Sweden (SE)","03.01.2020 19:00 - 03.01.2020 20:00 (CET/CEST)","n/e","n/e","6570"
"Sweden (SE)","03.01.2020 20:00 - 03.01.2020 21:00 (CET/CEST)","n/e","n/e","5986"
"Sweden (SE)","03.01.2020 21:00 - 03.01.2020 22:00 (CET/CEST)","n/e","n/e","5443"
"Sweden (SE)","03.01.2020 22:00 - 03.01.2020 23:00 (CET/CEST)","n/e","n/e","4805"
"Sweden (SE)","03.01.2020 23:00 - 04.01.2020 00:00 (CET/CEST)","n/e","n/e","4350"
"Sweden (SE)","04.01.2020 00:00 - 04.01.2020 01:00 (CET/CEST)","n/e","n/e","3925"
"Sweden (SE)","04.01.2020 01:00 - 04.01.2020 02:00 (CET/CEST)","n/e","n/e","3605"
