"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Bulgaria (BG)","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","0","","9"
"Bulgaria (BG)","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","0","","10"
"Bulgaria (BG)","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","0","","14"
"Bulgaria (BG)","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","0","","14"
"Bulgaria (BG)","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","0","","13"
"Bulgaria (BG)","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","0","","14"
"Bulgaria (BG)","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","0","","14"
"Bulgaria (BG)","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","0","","14"
"Bulgaria (BG)","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","0","","14"
"Bulgaria (BG)","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","53","","49"
"Bulgaria (BG)","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","336","","78"
"Bulgaria (BG)","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","509","","78"
"Bulgaria (BG)","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","488","","70"
"Bulgaria (BG)","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","428","","29"
"Bulgaria (BG)","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","269","","14"
"Bulgaria (BG)","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","164","","13"
"Bulgaria (BG)","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","0","","11"
"Bulgaria (BG)","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","0","","9"
