"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","","392","1658"
"Spain (ES)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","","422","1949"
"Spain (ES)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","","857","1843"
"Spain (ES)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","","1146","1350"
"Spain (ES)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","","1665","841"
"Spain (ES)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","","2000","417"
"Spain (ES)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","","2019","372"
"Spain (ES)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","","2034","371"
"Spain (ES)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","","2152","392"
"Spain (ES)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","","1716","550"
"Spain (ES)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","","1180","684"
"Spain (ES)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","","1096","609"
"Spain (ES)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","","1156","789"
"Spain (ES)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","","1298","626"
"Spain (ES)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","","1297","1021"
"Spain (ES)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","","1294","563"
"Spain (ES)","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","","1217","741"
"Spain (ES)","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","","896","1908"
"Spain (ES)","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","","810","3025"
"Spain (ES)","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","","99","3281"
"Spain (ES)","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","","0","3022"
"Spain (ES)","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","","0","3128"
"Spain (ES)","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","","0","2429"
"Spain (ES)","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","","84","1113"
"Spain (ES)","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","","378","547"
"Spain (ES)","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","","591","510"
"Spain (ES)","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","","1416","516"
"Spain (ES)","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","","1612","411"
"Spain (ES)","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","","2118","434"
"Spain (ES)","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","","1929","460"
"Spain (ES)","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","","1178","692"
"Spain (ES)","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","","434","963"
"Spain (ES)","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","","192","1425"
"Spain (ES)","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","","9","2448"
"Spain (ES)","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","","0","3539"
"Spain (ES)","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","","0","3511"
"Spain (ES)","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","","0","3326"
"Spain (ES)","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","","1","2698"
"Spain (ES)","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","","0","2119"
"Spain (ES)","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","","0","1987"
"Spain (ES)","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","","0","2413"
