"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST)","200","2636","2492"
"Spain (ES)","01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST)","56","2904","2164"
"Spain (ES)","01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST)","0","2964","2164"
"Spain (ES)","01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST)","0","3076","2176"
"Spain (ES)","01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST)","0","3184","2264"
"Spain (ES)","01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST)","0","3408","2604"
"Spain (ES)","01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST)","0","3576","2524"
"Spain (ES)","01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST)","0","3624","2332"
"Spain (ES)","01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST)","0","3696","2216"
"Spain (ES)","01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST)","0","3752","2384"
"Spain (ES)","01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST)","100","3808","2352"
"Spain (ES)","01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST)","164","3808","2160"
"Spain (ES)","01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST)","72","3812","2000"
"Spain (ES)","01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST)","80","3824","1928"
"Spain (ES)","01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST)","120","3900","1912"
"Spain (ES)","01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST)","48","3912","1868"
"Spain (ES)","01.01.2023 04:00 - 01.01.2023 04:15 (CET/CEST)","0","4004","1908"
"Spain (ES)","01.01.2023 04:15 - 01.01.2023 04:30 (CET/CEST)","0","4052","1752"
"Spain (ES)","01.01.2023 04:30 - 01.01.2023 04:45 (CET/CEST)","0","4200","1768"
"Spain (ES)","01.01.2023 04:45 - 01.01.2023 05:00 (CET/CEST)","0","4224","1740"
"Spain (ES)","01.01.2023 05:00 - 01.01.2023 05:15 (CET/CEST)","0","4244","1664"
"Spain (ES)","01.01.2023 05:15 - 01.01.2023 05:30 (CET/CEST)","0","4072","1900"
"Spain (ES)","01.01.2023 05:30 - 01.01.2023 05:45 (CET/CEST)","72","3896","1824"
"Spain (ES)","01.01.2023 05:45 - 01.01.2023 06:00 (CET/CEST)","88","3892","1700"
"Spain (ES)","01.01.2023 06:00 - 01.01.2023 06:15 (CET/CEST)","84","3892","1692"
"Spain (ES)","01.01.2023 06:15 - 01.01.2023 06:30 (CET/CEST)","72","3864","1704"
"Spain (ES)","01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST)","68","3984","1680"
"Spain (ES)","01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST)","68","4040","1692"
"Spain (ES)","01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST)","68","4032","1752"
"Spain (ES)","01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST)","76","3892","1940"
"Spain (ES)","01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST)","72","3660","1984"
"Spain (ES)","01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST)","72","3484","2048"
"Spain (ES)","01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST)","68","3432","1996"
"Spain (ES)","01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST)","80","3332","2052"
"Spain (ES)","01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST)","136","3324","2096"
"Spain (ES)","01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST)","84","3328","2148"
"Spain (ES)","01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST)","40","3328","2244"
"Spain (ES)","01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST)","0","3380","2316"
"Spain (ES)","01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST)","0","3572","2424"
"Spain (ES)","01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST)","0","3612","2472"
"Spain (ES)","01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST)","0","3576","2388"
"Spain (ES)","01.01.2023 10:15 - 01.01.2023 10:30 (CET/CEST)","0","3536","2652"
"Spain (ES)","01.01.2023 10:30 - 01.01.2023 10:45 (CET/CEST)","0","3348","2476"
"Spain (ES)","01.01.2023 10:45 - 01.01.2023 11:00 (CET/CEST)","0","3352","2136"
"Spain (ES)","01.01.2023 11:00 - 01.01.2023 11:15 (CET/CEST)","0","3344","2252"
"Spain (ES)","01.01.2023 11:15 - 01.01.2023 11:30 (CET/CEST)","0","3124","2384"
"Spain (ES)","01.01.2023 11:30 - 01.01.2023 11:45 (CET/CEST)","88","3116","2368"
"Spain (ES)","01.01.2023 11:45 - 01.01.2023 12:00 (CET/CEST)","244","3100","2360"
"Spain (ES)","01.01.2023 12:00 - 01.01.2023 12:15 (CET/CEST)","260","2808","2356"
"Spain (ES)","01.01.2023 12:15 - 01.01.2023 12:30 (CET/CEST)","180","2720","2248"
"Spain (ES)","01.01.2023 12:30 - 01.01.2023 12:45 (CET/CEST)","88","2524","2204"
"Spain (ES)","01.01.2023 12:45 - 01.01.2023 13:00 (CET/CEST)","88","2512","2184"
"Spain (ES)","01.01.2023 13:00 - 01.01.2023 13:15 (CET/CEST)","88","2516","2196"
"Spain (ES)","01.01.2023 13:15 - 01.01.2023 13:30 (CET/CEST)","136","2512","2128"
"Spain (ES)","01.01.2023 13:30 - 01.01.2023 13:45 (CET/CEST)","196","2516","2216"
