"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Spain (ES)","03.01.2018 15:00 - 03.01.2018 16:00 (CET/CEST)","","101","1789"
"Spain (ES)","03.01.2018 16:00 - 03.01.2018 17:00 (CET/CEST)","","66","2273"
"Spain (ES)","03.01.2018 17:00 - 03.01.2018 18:00 (CET/CEST)","","0","2509"
"Spain (ES)","03.01.2018 18:00 - 03.01.2018 19:00 (CET/CEST)","","0","3375"
"Spain (ES)","03.01.2018 19:00 - 03.01.2018 20:00 (CET/CEST)","","0","3940"
"Spain (ES)","03.01.2018 20:00 - 03.01.2018 21:00 (CET/CEST)","","0","4088"
"Spain (ES)","03.01.2018 21:00 - 03.01.2018 22:00 (CET/CEST)","","0","3650"
"Spain (ES)","03.01.2018 22:00 - 03.01.2018 23:00 (CET/CEST)","","74","2169"
"Spain (ES)","03.01.2018 23:00 - 04.01.2018 00:00 (CET/CEST)","","760","1546"
"Spain (ES)","04.01.2018 00:00 - 04.01.2018 01:00 (CET/CEST)","","1481","1623"
"Spain (ES)","04.01.2018 01:00 - 04.01.2018 02:00 (CET/CEST)","","3051","1147"
"Spain (ES)","04.01.2018 02:00 - 04.01.2018 03:00 (CET/CEST)","","3899","1018"
"Spain (ES)","04.01.2018 03:00 - 04.01.2018 04:00 (CET/CEST)","","3997","1040"
"Spain (ES)","04.01.2018 04:00 - 04.01.2018 05:00 (CET/CEST)","","3952","970"
"Spain (ES)","04.01.2018 05:00 - 04.01.2018 06:00 (CET/CEST)","","3353","958"
"Spain (ES)","04.01.2018 06:00 - 04.01.2018 07:00 (CET/CEST)","","2134","1365"
"Spain (ES)","04.01.2018 07:00 - 04.01.2018 08:00 (CET/CEST)","","444","1499"
"Spain (ES)","04.01.2018 08:00 - 04.01.2018 09:00 (CET/CEST)","","6","1727"
"Spain (ES)","04.01.2018 09:00 - 04.01.2018 10:00 (CET/CEST)","","1","2881"
"Spain (ES)","04.01.2018 10:00 - 04.01.2018 11:00 (CET/CEST)","","0","3251"
"Spain (ES)","04.01.2018 11:00 - 04.01.2018 12:00 (CET/CEST)","","0","2585"
"Spain (ES)","04.01.2018 12:00 - 04.01.2018 13:00 (CET/CEST)","","163","1770"
"Spain (ES)","04.01.2018 13:00 - 04.01.2018 14:00 (CET/CEST)","","530","1579"
"Spain (ES)","04.01.2018 14:00 - 04.01.2018 15:00 (CET/CEST)","","976","1672"
"Spain (ES)","04.01.2018 15:00 - 04.01.2018 16:00 (CET/CEST)","","1076","1770"
"Spain (ES)","04.01.2018 16:00 - 04.01.2018 17:00 (CET/CEST)","","527","1742"
"Spain (ES)","04.01.2018 17:00 - 04.01.2018 18:00 (CET/CEST)","","10","3096"
"Spain (ES)","04.01.2018 18:00 - 04.01.2018 19:00 (CET/CEST)","","0","3920"
"Spain (ES)","04.01.2018 19:00 - 04.01.2018 20:00 (CET/CEST)","","15","3283"
"Spain (ES)","04.01.2018 20:00 - 04.01.2018 21:00 (CET/CEST)","","154","3276"
"Spain (ES)","04.01.2018 21:00 - 04.01.2018 22:00 (CET/CEST)","","174","3234"
