"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Spain (ES)","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","1443"
"Spain (ES)","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","1425"
"Spain (ES)","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","1419"
"Spain (ES)","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","1402"
"Spain (ES)","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","1396"
"Spain (ES)","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","1379"
"Spain (ES)","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","1369"
"Spain (ES)","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","1408"
"Spain (ES)","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","1402"
"Spain (ES)","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","1404"
"Spain (ES)","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","1406"
"Spain (ES)","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","1434"
"Spain (ES)","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","1438"
"Spain (ES)","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","1426"
"Spain (ES)","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","1396"
"Spain (ES)","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","1412"
"Spain (ES)","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","1428"
"Spain (ES)","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","1578"
"Spain (ES)","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","1656"
"Spain (ES)","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","1672"
"Spain (ES)","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","1663"
"Spain (ES)","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","1651"
"Spain (ES)","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","1615"
"Spain (ES)","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","1455"
"Spain (ES)","02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","1399"
"Spain (ES)","02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","1389"
"Spain (ES)","02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","1393"
"Spain (ES)","02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","1381"
"Spain (ES)","02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","1375"
"Spain (ES)","02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","1375"
"Spain (ES)","02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","1374"
"Spain (ES)","02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","1500"
"Spain (ES)","02.01.2020 08:00 - 02.01.2020 09:00 (CET/CEST)","1549"
"Spain (ES)","02.01.2020 09:00 - 02.01.2020 10:00 (CET/CEST)","1560"
"Spain (ES)","02.01.2020 10:00 - 02.01.2020 11:00 (CET/CEST)","1607"
"Spain (ES)","02.01.2020 11:00 - 02.01.2020 12:00 (CET/CEST)","1598"
"Spain (ES)","02.01.2020 12:00 - 02.01.2020 13:00 (CET/CEST)","1605"
"Spain (ES)","02.01.2020 13:00 - 02.01.2020 14:00 (CET/CEST)","1605"
"Spain (ES)","02.01.2020 14:00 - 02.01.2020 15:00 (CET/CEST)","1618"
"Spain (ES)","02.01.2020 15:00 - 02.01.2020 16:00 (CET/CEST)","1624"
"Spain (ES)","02.01.2020 16:00 - 02.01.2020 17:00 (CET/CEST)","1625"
"Spain (ES)","02.01.2020 17:00 - 02.01.2020 18:00 (CET/CEST)","1643"
"Spain (ES)","02.01.2020 18:00 - 02.01.2020 19:00 (CET/CEST)","1661"
"Spain (ES)","02.01.2020 19:00 - 02.01.2020 20:00 (CET/CEST)","1682"
"Spain (ES)","02.01.2020 20:00 - 02.01.2020 21:00 (CET/CEST)","1686"
"Spain (ES)","02.01.2020 21:00 - 02.01.2020 22:00 (CET/CEST)","1644"
"Spain (ES)","02.01.2020 22:00 - 02.01.2020 23:00 (CET/CEST)","1591"
"Spain (ES)","02.01.2020 23:00 - 03.01.2020 00:00 (CET/CEST)","1528"
"Spain (ES)","03.01.2020 00:00 - 03.01.2020 01:00 (CET/CEST)","1457"
"Spain (ES)","03.01.2020 01:00 - 03.01.2020 02:00 (CET/CEST)","1378"
"Spain (ES)","03.01.2020 02:00 - 03.01.2020 03:00 (CET/CEST)","1412"
"Spain (ES)","03.01.2020 03:00 - 03.01.2020 04:00 (CET/CEST)","1385"
"Spain (ES)","03.01.2020 04:00 - 03.01.2020 05:00 (CET/CEST)","1384"
"Spain (ES)","03.01.2020 05:00 - 03.01.2020 06:00 (CET/CEST)","1378"
"Spain (ES)","03.01.2020 06:00 - 03.01.2020 07:00 (CET/CEST)","1306"
"Spain (ES)","03.01.2020 07:00 - 03.01.2020 08:00 (CET/CEST)","1308"
"Spain (ES)","03.01.2020 08:00 - 03.01.2020 09:00 (CET/CEST)","1382"
"Spain (ES)","03.01.2020 09:00 - 03.01.2020 10:00 (CET/CEST)","1561"
"Spain (ES)","03.01.2020 10:00 - 03.01.2020 11:00 (CET/CEST)","1591"
"Spain (ES)","03.01.2020 11:00 - 03.01.2020 12:00 (CET/CEST)","1587"
"Spain (ES)","03.01.2020 12:00 - 03.01.2020 13:00 (CET/CEST)","1596"
"Spain (ES)","03.01.2020 13:00 - 03.01.2020 14:00 (CET/CEST)","1610"
"Spain (ES)","03.01.2020 14:00 - 03.01.2020 15:00 (CET/CEST)","1578"
"Spain (ES)","03.01.2020 15:00 - 03.01.2020 16:00 (CET/CEST)","1452"
"Spain (ES)","03.01.2020 16:00 - 03.01.2020 17:00 (CET/CEST)","1463"
"Spain (ES)","03.01.2020 17:00 - 03.01.2020 18:00 (CET/CEST)","1594"
"Spain (ES)","03.01.2020 18:00 - 03.01.2020 19:00 (CET/CEST)","1537"
"Spain (ES)","03.01.2020 19:00 - 03.01.2020 20:00 (CET/CEST)","1552"
"Spain (ES)","03.01.2020 20:00 - 03.01.2020 21:00 (CET/CEST)","1521"
"Spain (ES)","03.01.2020 21:00 - 03.01.2020 22:00 (CET/CEST)","1592"
"Spain (ES)","03.01.2020 22:00 - 03.01.2020 23:00 (CET/CEST)","1537"
"Spain (ES)","03.01.2020 23:00 - 04.01.2020 00:00 (CET/CEST)","1368"
"Spain (ES)","04.01.2020 00:00 - 04.01.2020 01:00 (CET/CEST)","1317"
"Spain (ES)","04.01.2020 01:00 - 04.01.2020 02:00 (CET/CEST)","1246"
"Spain (ES)","04.01.2020 02:00 - 04.01.2020 03:00 (CET/CEST)","1223"
"Spain (ES)","04.01.2020 03:00 - 04.01.2020 04:00 (CET/CEST)","1212"
"Spain (ES)","04.01.2020 04:00 - 04.01.2020 05:00 (CET/CEST)","1218"
"Spain (ES)","04.01.2020 05:00 - 04.01.2020 06:00 (CET/CEST)","1216"
"Spain (ES)","04.01.2020 06:00 - 04.01.2020 07:00 (CET/CEST)","1213"
"Spain (ES)","04.01.2020 07:00 - 04.01.2020 08:00 (CET/CEST)","1221"
"Spain (ES)","04.01.2020 08:00 - 04.01.2020 09:00 (CET/CEST)","1234"
"Spain (ES)","04.01.2020 09:00 - 04.01.2020 10:00 (CET/CEST)","1302"
"Spain (ES)","04.01.2020 10:00 - 04.01.2020 11:00 (CET/CEST)","1325"
"Spain (ES)","04.01.2020 11:00 - 04.01.2020 12:00 (CET/CEST)","1332"
"Spain (ES)","04.01.2020 12:00 - 04.01.2020 13:00 (CET/CEST)","1332"
"Spain (ES)","04.01.2020 13:00 - 04.01.2020 14:00 (CET/CEST)","1310"
"Spain (ES)","04.01.2020 14:00 - 04.01.2020 15:00 (CET/CEST)","1295"
"Spain (ES)","04.01.2020 15:00 - 04.01.2020 16:00 (CET/CEST)","1297"
"Spain (ES)","04.01.2020 16:00 - 04.01.2020 17:00 (CET/CEST)","1318"
"Spain (ES)","04.01.2020 17:00 - 04.01.2020 18:00 (CET/CEST)","1356"
"Spain (ES)","04.01.2020 18:00 - 04.01.2020 19:00 (CET/CEST)","1401"
"Spain (ES)","04.01.2020 19:00 - 04.01.2020 20:00 (CET/CEST)","1395"
"Spain (ES)","04.01.2020 20:00 - 04.01.2020 21:00 (CET/CEST)","1390"
"Spain (ES)","04.01.2020 21:00 - 04.01.2020 22:00 (CET/CEST)","1380"
"Spain (ES)","04.01.2020 22:00 - 04.01.2020 23:00 (CET/CEST)","1341"
"Spain (ES)","04.01.2020 23:00 - 05.01.2020 00:00 (CET/CEST)","1305"
"Spain (ES)","05.01.2020 00:00 - 05.01.2020 01:00 (CET/CEST)","1246"
"Spain (ES)","05.01.2020 01:00 - 05.01.2020 02:00 (CET/CEST)","1204"
"Spain (ES)","05.01.2020 02:00 - 05.01.2020 03:00 (CET/CEST)","1186"
"Spain (ES)","05.01.2020 03:00 - 05.01.2020 04:00 (CET/CEST)","1176"
"Spain (ES)","05.01.2020 04:00 - 05.01.2020 05:00 (CET/CEST)","1177"
"Spain (ES)","05.01.2020 05:00 - 05.01.2020 06:00 (CET/CEST)","1174"
"Spain (ES)","05.01.2020 06:00 - 05.01.2020 07:00 (CET/CEST)","1176"
"Spain (ES)","05.01.2020 07:00 - 05.01.2020 08:00 (CET/CEST)","1179"
"Spain (ES)","05.01.2020 08:00 - 05.01.2020 09:00 (CET/CEST)","1192"
"Spain (ES)","05.01.2020 09:00 - 05.01.2020 10:00 (CET/CEST)","1208"
"Spain (ES)","05.01.2020 10:00 - 05.01.2020 11:00 (CET/CEST)","1223"
"Spain (ES)","05.01.2020 11:00 - 05.01.2020 12:00 (CET/CEST)","1250"
"Spain (ES)","05.01.2020 12:00 - 05.01.2020 13:00 (CET/CEST)","1274"
"Spain (ES)","05.01.2020 13:00 - 05.01.2020 14:00 (CET/CEST)","1289"
"Spain (ES)","05.01.2020 14:00 - 05.01.2020 15:00 (CET/CEST)","1284"
"Spain (ES)","05.01.2020 15:00 - 05.01.2020 16:00 (CET/CEST)","1280"
"Spain (ES)","05.01.2020 16:00 - 05.01.2020 17:00 (CET/CEST)","1277"
"Spain (ES)","05.01.2020 17:00 - 05.01.2020 18:00 (CET/CEST)","1299"
"Spain (ES)","05.01.2020 18:00 - 05.01.2020 19:00 (CET/CEST)","1319"
"Spain (ES)","05.01.2020 19:00 - 05.01.2020 20:00 (CET/CEST)","1351"
"Spain (ES)","05.01.2020 20:00 - 05.01.2020 21:00 (CET/CEST)","1366"
"Spain (ES)","05.01.2020 21:00 - 05.01.2020 22:00 (CET/CEST)","1400"
"Spain (ES)","05.01.2020 22:00 - 05.01.2020 23:00 (CET/CEST)","1457"
"Spain (ES)","05.01.2020 23:00 - 06.01.2020 00:00 (CET/CEST)","1341"
"Spain (ES)","06.01.2020 00:00 - 06.01.2020 01:00 (CET/CEST)","1285"
"Spain (ES)","06.01.2020 01:00 - 06.01.2020 02:00 (CET/CEST)","1249"
"Spain (ES)","06.01.2020 02:00 - 06.01.2020 03:00 (CET/CEST)","1213"
"Spain (ES)","06.01.2020 03:00 - 06.01.2020 04:00 (CET/CEST)","1191"
"Spain (ES)","06.01.2020 04:00 - 06.01.2020 05:00 (CET/CEST)","1174"
"Spain (ES)","06.01.2020 05:00 - 06.01.2020 06:00 (CET/CEST)","1166"
"Spain (ES)","06.01.2020 06:00 - 06.01.2020 07:00 (CET/CEST)","1164"
"Spain (ES)","06.01.2020 07:00 - 06.01.2020 08:00 (CET/CEST)","1170"
"Spain (ES)","06.01.2020 08:00 - 06.01.2020 09:00 (CET/CEST)","1185"
"Spain (ES)","06.01.2020 09:00 - 06.01.2020 10:00 (CET/CEST)","1232"
"Spain (ES)","06.01.2020 10:00 - 06.01.2020 11:00 (CET/CEST)","1248"
"Spain (ES)","06.01.2020 11:00 - 06.01.2020 12:00 (CET/CEST)","1241"
"Spain (ES)","06.01.2020 12:00 - 06.01.2020 13:00 (CET/CEST)","1239"
"Spain (ES)","06.01.2020 13:00 - 06.01.2020 14:00 (CET/CEST)","1233"
"Spain (ES)","06.01.2020 14:00 - 06.01.2020 15:00 (CET/CEST)","1251"
"Spain (ES)","06.01.2020 15:00 - 06.01.2020 16:00 (CET/CEST)","1260"
"Spain (ES)","06.01.2020 16:00 - 06.01.2020 17:00 (CET/CEST)","1253"
"Spain (ES)","06.01.2020 17:00 - 06.01.2020 18:00 (CET/CEST)","1296"
"Spain (ES)","06.01.2020 18:00 - 06.01.2020 19:00 (CET/CEST)","1453"
"Spain (ES)","06.01.2020 19:00 - 06.01.2020 20:00 (CET/CEST)","1459"
"Spain (ES)","06.01.2020 20:00 - 06.01.2020 21:00 (CET/CEST)","1462"
"Spain (ES)","06.01.2020 21:00 - 06.01.2020 22:00 (CET/CEST)","1455"
"Spain (ES)","06.01.2020 22:00 - 06.01.2020 23:00 (CET/CEST)","1328"
"Spain (ES)","06.01.2020 23:00 - 07.01.2020 00:00 (CET/CEST)","1304"
"Spain (ES)","07.01.2020 00:00 - 07.01.2020 01:00 (CET/CEST)","1265"
"Spain (ES)","07.01.2020 01:00 - 07.01.2020 02:00 (CET/CEST)","1219"
"Spain (ES)","07.01.2020 02:00 - 07.01.2020 03:00 (CET/CEST)","1202"
"Spain (ES)","07.01.2020 03:00 - 07.01.2020 04:00 (CET/CEST)","1201"
"Spain (ES)","07.01.2020 04:00 - 07.01.2020 05:00 (CET/CEST)","1201"
"Spain (ES)","07.01.2020 05:00 - 07.01.2020 06:00 (CET/CEST)","1204"
"Spain (ES)","07.01.2020 06:00 - 07.01.2020 07:00 (CET/CEST)","1212"
"Spain (ES)","07.01.2020 07:00 - 07.01.2020 08:00 (CET/CEST)","1372"
"Spain (ES)","07.01.2020 08:00 - 07.01.2020 09:00 (CET/CEST)","1434"
"Spain (ES)","07.01.2020 09:00 - 07.01.2020 10:00 (CET/CEST)","1465"
"Spain (ES)","07.01.2020 10:00 - 07.01.2020 11:00 (CET/CEST)","1492"
"Spain (ES)","07.01.2020 11:00 - 07.01.2020 12:00 (CET/CEST)","1494"
"Spain (ES)","07.01.2020 12:00 - 07.01.2020 13:00 (CET/CEST)","1511"
"Spain (ES)","07.01.2020 13:00 - 07.01.2020 14:00 (CET/CEST)","1503"
"Spain (ES)","07.01.2020 14:00 - 07.01.2020 15:00 (CET/CEST)","1498"
"Spain (ES)","07.01.2020 15:00 - 07.01.2020 16:00 (CET/CEST)","1496"
"Spain (ES)","07.01.2020 16:00 - 07.01.2020 17:00 (CET/CEST)","1494"
"Spain (ES)","07.01.2020 17:00 - 07.01.2020 18:00 (CET/CEST)","1498"
"Spain (ES)","07.01.2020 18:00 - 07.01.2020 19:00 (CET/CEST)","1506"
"Spain (ES)","07.01.2020 19:00 - 07.01.2020 20:00 (CET/CEST)","1535"
"Spain (ES)","07.01.2020 20:00 - 07.01.2020 21:00 (CET/CEST)","1532"
"Spain (ES)","07.01.2020 21:00 - 07.01.2020 22:00 (CET/CEST)","1508"
"Spain (ES)","07.01.2020 22:00 - 07.01.2020 23:00 (CET/CEST)","1350"
"Spain (ES)","07.01.2020 23:00 - 08.01.2020 00:00 (CET/CEST)","1262"
"Spain (ES)","08.01.2020 00:00 - 08.01.2020 01:00 (CET/CEST)","1216"
"Spain (ES)","08.01.2020 01:00 - 08.01.2020 02:00 (CET/CEST)","1170"
"Spain (ES)","08.01.2020 02:00 - 08.01.2020 03:00 (CET/CEST)","1165"
"Spain (ES)","08.01.2020 03:00 - 08.01.2020 04:00 (CET/CEST)","1158"
"Spain (ES)","08.01.2020 04:00 - 08.01.2020 05:00 (CET/CEST)","1157"
"Spain (ES)","08.01.2020 05:00 - 08.01.2020 06:00 (CET/CEST)","1157"
"Spain (ES)","08.01.2020 06:00 - 08.01.2020 07:00 (CET/CEST)","1156"
"Spain (ES)","08.01.2020 07:00 - 08.01.2020 08:00 (CET/CEST)","1294"
"Spain (ES)","08.01.2020 08:00 - 08.01.2020 09:00 (CET/CEST)","1413"
"Spain (ES)","08.01.2020 09:00 - 08.01.2020 10:00 (CET/CEST)","1446"
"Spain (ES)","08.01.2020 10:00 - 08.01.2020 11:00 (CET/CEST)","1458"
"Spain (ES)","08.01.2020 11:00 - 08.01.2020 12:00 (CET/CEST)","1461"
"Spain (ES)","08.01.2020 12:00 - 08.01.2020 13:00 (CET/CEST)","1454"
"Spain (ES)","08.01.2020 13:00 - 08.01.2020 14:00 (CET/CEST)","1441"
"Spain (ES)","08.01.2020 14:00 - 08.01.2020 15:00 (CET/CEST)","1300"
"Spain (ES)","08.01.2020 15:00 - 08.01.2020 16:00 (CET/CEST)","1286"
"Spain (ES)","08.01.2020 16:00 - 08.01.2020 17:00 (CET/CEST)","1327"
"Spain (ES)","08.01.2020 17:00 - 08.01.2020 18:00 (CET/CEST)","1423"
"Spain (ES)","08.01.2020 18:00 - 08.01.2020 19:00 (CET/CEST)","1490"
"Spain (ES)","08.01.2020 19:00 - 08.01.2020 20:00 (CET/CEST)","1481"
"Spain (ES)","08.01.2020 20:00 - 08.01.2020 21:00 (CET/CEST)","1492"
"Spain (ES)","08.01.2020 21:00 - 08.01.2020 22:00 (CET/CEST)","1346"
"Spain (ES)","08.01.2020 22:00 - 08.01.2020 23:00 (CET/CEST)","1287"
"Spain (ES)","08.01.2020 23:00 - 09.01.2020 00:00 (CET/CEST)","1257"
"Spain (ES)","09.01.2020 00:00 - 09.01.2020 01:00 (CET/CEST)","1207"
"Spain (ES)","09.01.2020 01:00 - 09.01.2020 02:00 (CET/CEST)","1129"
"Spain (ES)","09.01.2020 02:00 - 09.01.2020 03:00 (CET/CEST)","1095"
"Spain (ES)","09.01.2020 03:00 - 09.01.2020 04:00 (CET/CEST)","1112"
"Spain (ES)","09.01.2020 04:00 - 09.01.2020 05:00 (CET/CEST)","1139"
"Spain (ES)","09.01.2020 05:00 - 09.01.2020 06:00 (CET/CEST)","1131"
"Spain (ES)","09.01.2020 06:00 - 09.01.2020 07:00 (CET/CEST)","1135"
"Spain (ES)","09.01.2020 07:00 - 09.01.2020 08:00 (CET/CEST)","1155"
"Spain (ES)","09.01.2020 08:00 - 09.01.2020 09:00 (CET/CEST)","1247"
"Spain (ES)","09.01.2020 09:00 - 09.01.2020 10:00 (CET/CEST)","1278"
"Spain (ES)","09.01.2020 10:00 - 09.01.2020 11:00 (CET/CEST)","1399"
"Spain (ES)","09.01.2020 11:00 - 09.01.2020 12:00 (CET/CEST)","1260"
"Spain (ES)","09.01.2020 12:00 - 09.01.2020 13:00 (CET/CEST)","1238"
"Spain (ES)","09.01.2020 13:00 - 09.01.2020 14:00 (CET/CEST)","1220"
"Spain (ES)","09.01.2020 14:00 - 09.01.2020 15:00 (CET/CEST)","1231"
"Spain (ES)","09.01.2020 15:00 - 09.01.2020 16:00 (CET/CEST)","1228"
"Spain (ES)","09.01.2020 16:00 - 09.01.2020 17:00 (CET/CEST)","1238"
"Spain (ES)","09.01.2020 17:00 - 09.01.2020 18:00 (CET/CEST)","1349"
"Spain (ES)","09.01.2020 18:00 - 09.01.2020 19:00 (CET/CEST)","1469"
"Spain (ES)","09.01.2020 19:00 - 09.01.2020 20:00 (CET/CEST)","1468"
