"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Spain (ES)","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","1118"
"Spain (ES)","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","1068"
"Spain (ES)","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","1026"
"Spain (ES)","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","990"
"Spain (ES)","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","978"
"Spain (ES)","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","975"
"Spain (ES)","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","977"
"Spain (ES)","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","974"
"Spain (ES)","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","965"
"Spain (ES)","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","967"
"Spain (ES)","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","1104"
"Spain (ES)","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","1131"
"Spain (ES)","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","1206"
"Spain (ES)","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","1250"
"Spain (ES)","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","1278"
"Spain (ES)","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","1266"
"Spain (ES)","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","1260"
"Spain (ES)","04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST)","1238"
"Spain (ES)","04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST)","1205"
"Spain (ES)","04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST)","1197"
"Spain (ES)","04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST)","1212"
"Spain (ES)","04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST)","1271"
"Spain (ES)","04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST)","1318"
"Spain (ES)","04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST)","1349"
"Spain (ES)","04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST)","1260"
"Spain (ES)","04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST)","1310"
"Spain (ES)","04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST)","1233"
"Spain (ES)","04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST)","1193"
"Spain (ES)","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","1154"
"Spain (ES)","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","1162"
"Spain (ES)","05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST)","1132"
"Spain (ES)","05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST)","1127"
"Spain (ES)","05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST)","1118"
"Spain (ES)","05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST)","1094"
"Spain (ES)","05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST)","1120"
"Spain (ES)","05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST)","1158"
"Spain (ES)","05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST)","1233"
"Spain (ES)","05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST)","1262"
"Spain (ES)","05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST)","1244"
"Spain (ES)","05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST)","1169"
"Spain (ES)","05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST)","1185"
"Spain (ES)","05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST)","1231"
"Spain (ES)","05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST)","1277"
"Spain (ES)","05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST)","1299"
"Spain (ES)","05.01.2022 16:00 - 05.01.2022 17:00 (CET/CEST)","1307"
"Spain (ES)","05.01.2022 17:00 - 05.01.2022 18:00 (CET/CEST)","1289"
"Spain (ES)","05.01.2022 18:00 - 05.01.2022 19:00 (CET/CEST)","1338"
"Spain (ES)","05.01.2022 19:00 - 05.01.2022 20:00 (CET/CEST)","1381"
"Spain (ES)","05.01.2022 20:00 - 05.01.2022 21:00 (CET/CEST)","1393"
"Spain (ES)","05.01.2022 21:00 - 05.01.2022 22:00 (CET/CEST)","1386"
"Spain (ES)","05.01.2022 22:00 - 05.01.2022 23:00 (CET/CEST)","1277"
"Spain (ES)","05.01.2022 23:00 - 06.01.2022 00:00 (CET/CEST)","1182"
