"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2022 00:00 - 01.01.2022 00:15 (CET/CEST)","3828"
"Austria (AT)","01.01.2022 00:15 - 01.01.2022 00:30 (CET/CEST)","3778"
"Austria (AT)","01.01.2022 00:30 - 01.01.2022 00:45 (CET/CEST)","3780"
"Austria (AT)","01.01.2022 00:45 - 01.01.2022 01:00 (CET/CEST)","3783"
"Austria (AT)","01.01.2022 01:00 - 01.01.2022 01:15 (CET/CEST)","3765"
"Austria (AT)","01.01.2022 01:15 - 01.01.2022 01:30 (CET/CEST)","3778"
"Austria (AT)","01.01.2022 01:30 - 01.01.2022 01:45 (CET/CEST)","3766"
"Austria (AT)","01.01.2022 01:45 - 01.01.2022 02:00 (CET/CEST)","3781"
"Austria (AT)","01.01.2022 02:00 - 01.01.2022 02:15 (CET/CEST)","3812"
"Austria (AT)","01.01.2022 02:15 - 01.01.2022 02:30 (CET/CEST)","3799"
"Austria (AT)","01.01.2022 02:30 - 01.01.2022 02:45 (CET/CEST)","3794"
"Austria (AT)","01.01.2022 02:45 - 01.01.2022 03:00 (CET/CEST)","3798"
"Austria (AT)","01.01.2022 03:00 - 01.01.2022 03:15 (CET/CEST)","3776"
"Austria (AT)","01.01.2022 03:15 - 01.01.2022 03:30 (CET/CEST)","3724"
"Austria (AT)","01.01.2022 03:30 - 01.01.2022 03:45 (CET/CEST)","3762"
"Austria (AT)","01.01.2022 03:45 - 01.01.2022 04:00 (CET/CEST)","3720"
"Austria (AT)","01.01.2022 04:00 - 01.01.2022 04:15 (CET/CEST)","3697"
"Austria (AT)","01.01.2022 04:15 - 01.01.2022 04:30 (CET/CEST)","3634"
"Austria (AT)","01.01.2022 04:30 - 01.01.2022 04:45 (CET/CEST)","3670"
"Austria (AT)","01.01.2022 04:45 - 01.01.2022 05:00 (CET/CEST)","3633"
"Austria (AT)","01.01.2022 05:00 - 01.01.2022 05:15 (CET/CEST)","3662"
"Austria (AT)","01.01.2022 05:15 - 01.01.2022 05:30 (CET/CEST)","3671"
"Austria (AT)","01.01.2022 05:30 - 01.01.2022 05:45 (CET/CEST)","3657"
"Austria (AT)","01.01.2022 05:45 - 01.01.2022 06:00 (CET/CEST)","3658"
"Austria (AT)","01.01.2022 06:00 - 01.01.2022 06:15 (CET/CEST)","3659"
"Austria (AT)","01.01.2022 06:15 - 01.01.2022 06:30 (CET/CEST)","3690"
"Austria (AT)","01.01.2022 06:30 - 01.01.2022 06:45 (CET/CEST)","3701"
"Austria (AT)","01.01.2022 06:45 - 01.01.2022 07:00 (CET/CEST)","3724"
"Austria (AT)","01.01.2022 07:00 - 01.01.2022 07:15 (CET/CEST)","3701"
"Austria (AT)","01.01.2022 07:15 - 01.01.2022 07:30 (CET/CEST)","3701"
"Austria (AT)","01.01.2022 07:30 - 01.01.2022 07:45 (CET/CEST)","3715"
"Austria (AT)","01.01.2022 07:45 - 01.01.2022 08:00 (CET/CEST)","3726"
"Austria (AT)","01.01.2022 08:00 - 01.01.2022 08:15 (CET/CEST)","3703"
