"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","3270"
"Italy (IT)","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","2911"
"Italy (IT)","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","2554"
"Italy (IT)","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","2442"
"Italy (IT)","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","2419"
"Italy (IT)","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","2394"
"Italy (IT)","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","2486"
"Italy (IT)","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","2923"
"Italy (IT)","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","3206"
"Italy (IT)","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","3098"
"Italy (IT)","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","3114"
"Italy (IT)","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","3032"
"Italy (IT)","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","2655"
"Italy (IT)","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","2679"
"Italy (IT)","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","2671"
"Italy (IT)","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","2937"
"Italy (IT)","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","3564"
"Italy (IT)","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","4524"
"Italy (IT)","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","4785"
"Italy (IT)","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","4868"
"Italy (IT)","01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","4488"
"Italy (IT)","01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","3888"
"Italy (IT)","01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","3605"
"Italy (IT)","01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","2930"
