"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","1860"
"Italy (IT)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","1448"
"Italy (IT)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","1212"
"Italy (IT)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","1105"
"Italy (IT)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","1102"
"Italy (IT)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","1080"
"Italy (IT)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","1110"
"Italy (IT)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","1214"
"Italy (IT)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","1353"
"Italy (IT)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","1521"
"Italy (IT)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","1611"
"Italy (IT)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","1530"
"Italy (IT)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","1480"
"Italy (IT)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","1272"
"Italy (IT)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","1220"
"Italy (IT)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","1231"
"Italy (IT)","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","1576"
"Italy (IT)","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","1874"
"Italy (IT)","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","2759"
"Italy (IT)","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","3116"
"Italy (IT)","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","2980"
"Italy (IT)","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","2297"
"Italy (IT)","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","1819"
"Italy (IT)","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","1441"
"Italy (IT)","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","1082"
"Italy (IT)","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","1141"
"Italy (IT)","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","794"
"Italy (IT)","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","1001"
"Italy (IT)","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","905"
"Italy (IT)","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","934"
"Italy (IT)","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","1094"
"Italy (IT)","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","1616"
"Italy (IT)","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","2000"
"Italy (IT)","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","2573"
"Italy (IT)","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","2313"
"Italy (IT)","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","1873"
"Italy (IT)","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","1864"
"Italy (IT)","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","1802"
"Italy (IT)","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","1711"
"Italy (IT)","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","1908"
"Italy (IT)","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","2571"
"Italy (IT)","02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","3379"
"Italy (IT)","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","3780"
"Italy (IT)","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","2981"
"Italy (IT)","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","2494"
"Italy (IT)","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","2377"
"Italy (IT)","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","1755"
"Italy (IT)","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","1496"
"Italy (IT)","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","1452"
"Italy (IT)","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","1279"
"Italy (IT)","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","1196"
"Italy (IT)","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","1165"
"Italy (IT)","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","1189"
"Italy (IT)","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","1212"
"Italy (IT)","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","1403"
"Italy (IT)","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","1577"
"Italy (IT)","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","2221"
"Italy (IT)","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","2712"
"Italy (IT)","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","2567"
"Italy (IT)","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","2378"
"Italy (IT)","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","2183"
"Italy (IT)","03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","2053"
"Italy (IT)","03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","1999"
"Italy (IT)","03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","2148"
"Italy (IT)","03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","2538"
"Italy (IT)","03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","3792"
"Italy (IT)","03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","4232"
"Italy (IT)","03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","4146"
"Italy (IT)","03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","3475"
"Italy (IT)","03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","2499"
"Italy (IT)","03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","2149"
"Italy (IT)","03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","1826"
"Italy (IT)","04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","1585"
"Italy (IT)","04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","1506"
"Italy (IT)","04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","1410"
"Italy (IT)","04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","1281"
"Italy (IT)","04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","1213"
"Italy (IT)","04.01.2017 05:00 - 04.01.2017 06:00 (CET/CEST)","1232"
"Italy (IT)","04.01.2017 06:00 - 04.01.2017 07:00 (CET/CEST)","1479"
