"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","1096"
"Italy (IT)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","1257"
"Italy (IT)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","1052"
"Italy (IT)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","1098"
"Italy (IT)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","1123"
"Italy (IT)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","1240"
"Italy (IT)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","1290"
"Italy (IT)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","1335"
"Italy (IT)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","1499"
"Italy (IT)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","1682"
"Italy (IT)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","1669"
"Italy (IT)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","1627"
"Italy (IT)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","1576"
"Italy (IT)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","1541"
"Italy (IT)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","1677"
"Italy (IT)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","1817"
"Italy (IT)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","2299"
"Italy (IT)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","2210"
"Italy (IT)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","2884"
"Italy (IT)","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","2925"
"Italy (IT)","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","2139"
"Italy (IT)","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","1561"
"Italy (IT)","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","1636"
"Italy (IT)","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","1403"
"Italy (IT)","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","1605"
