"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","2885"
"Italy (IT)","03.01.2022 21:00 - 03.01.2022 22:00 (CET/CEST)","2349"
"Italy (IT)","03.01.2022 22:00 - 03.01.2022 23:00 (CET/CEST)","1915"
"Italy (IT)","03.01.2022 23:00 - 04.01.2022 00:00 (CET/CEST)","1734"
"Italy (IT)","04.01.2022 00:00 - 04.01.2022 01:00 (CET/CEST)","1729"
"Italy (IT)","04.01.2022 01:00 - 04.01.2022 02:00 (CET/CEST)","1571"
"Italy (IT)","04.01.2022 02:00 - 04.01.2022 03:00 (CET/CEST)","1553"
"Italy (IT)","04.01.2022 03:00 - 04.01.2022 04:00 (CET/CEST)","1541"
"Italy (IT)","04.01.2022 04:00 - 04.01.2022 05:00 (CET/CEST)","1541"
"Italy (IT)","04.01.2022 05:00 - 04.01.2022 06:00 (CET/CEST)","1535"
"Italy (IT)","04.01.2022 06:00 - 04.01.2022 07:00 (CET/CEST)","1629"
"Italy (IT)","04.01.2022 07:00 - 04.01.2022 08:00 (CET/CEST)","1854"
"Italy (IT)","04.01.2022 08:00 - 04.01.2022 09:00 (CET/CEST)","2458"
"Italy (IT)","04.01.2022 09:00 - 04.01.2022 10:00 (CET/CEST)","2838"
"Italy (IT)","04.01.2022 10:00 - 04.01.2022 11:00 (CET/CEST)","3011"
"Italy (IT)","04.01.2022 11:00 - 04.01.2022 12:00 (CET/CEST)","2786"
"Italy (IT)","04.01.2022 12:00 - 04.01.2022 13:00 (CET/CEST)","2580"
"Italy (IT)","04.01.2022 13:00 - 04.01.2022 14:00 (CET/CEST)","2599"
"Italy (IT)","04.01.2022 14:00 - 04.01.2022 15:00 (CET/CEST)","2563"
"Italy (IT)","04.01.2022 15:00 - 04.01.2022 16:00 (CET/CEST)","2547"
"Italy (IT)","04.01.2022 16:00 - 04.01.2022 17:00 (CET/CEST)","2800"
"Italy (IT)","04.01.2022 17:00 - 04.01.2022 18:00 (CET/CEST)","3547"
"Italy (IT)","04.01.2022 18:00 - 04.01.2022 19:00 (CET/CEST)","3416"
"Italy (IT)","04.01.2022 19:00 - 04.01.2022 20:00 (CET/CEST)","2976"
"Italy (IT)","04.01.2022 20:00 - 04.01.2022 21:00 (CET/CEST)","2367"
"Italy (IT)","04.01.2022 21:00 - 04.01.2022 22:00 (CET/CEST)","2033"
"Italy (IT)","04.01.2022 22:00 - 04.01.2022 23:00 (CET/CEST)","1815"
"Italy (IT)","04.01.2022 23:00 - 05.01.2022 00:00 (CET/CEST)","1809"
"Italy (IT)","05.01.2022 00:00 - 05.01.2022 01:00 (CET/CEST)","1716"
"Italy (IT)","05.01.2022 01:00 - 05.01.2022 02:00 (CET/CEST)","1646"
"Italy (IT)","05.01.2022 02:00 - 05.01.2022 03:00 (CET/CEST)","1586"
"Italy (IT)","05.01.2022 03:00 - 05.01.2022 04:00 (CET/CEST)","1580"
"Italy (IT)","05.01.2022 04:00 - 05.01.2022 05:00 (CET/CEST)","1595"
"Italy (IT)","05.01.2022 05:00 - 05.01.2022 06:00 (CET/CEST)","1636"
"Italy (IT)","05.01.2022 06:00 - 05.01.2022 07:00 (CET/CEST)","1754"
"Italy (IT)","05.01.2022 07:00 - 05.01.2022 08:00 (CET/CEST)","2162"
"Italy (IT)","05.01.2022 08:00 - 05.01.2022 09:00 (CET/CEST)","3419"
"Italy (IT)","05.01.2022 09:00 - 05.01.2022 10:00 (CET/CEST)","3573"
"Italy (IT)","05.01.2022 10:00 - 05.01.2022 11:00 (CET/CEST)","2866"
"Italy (IT)","05.01.2022 11:00 - 05.01.2022 12:00 (CET/CEST)","2252"
"Italy (IT)","05.01.2022 12:00 - 05.01.2022 13:00 (CET/CEST)","2111"
"Italy (IT)","05.01.2022 13:00 - 05.01.2022 14:00 (CET/CEST)","2095"
"Italy (IT)","05.01.2022 14:00 - 05.01.2022 15:00 (CET/CEST)","2188"
"Italy (IT)","05.01.2022 15:00 - 05.01.2022 16:00 (CET/CEST)","2720"
"Italy (IT)","05.01.2022 16:00 - 05.01.2022 17:00 (CET/CEST)","3573"
"Italy (IT)","05.01.2022 17:00 - 05.01.2022 18:00 (CET/CEST)","4457"
"Italy (IT)","05.01.2022 18:00 - 05.01.2022 19:00 (CET/CEST)","4632"
"Italy (IT)","05.01.2022 19:00 - 05.01.2022 20:00 (CET/CEST)","4203"
"Italy (IT)","05.01.2022 20:00 - 05.01.2022 21:00 (CET/CEST)","2803"
"Italy (IT)","05.01.2022 21:00 - 05.01.2022 22:00 (CET/CEST)","2332"
"Italy (IT)","05.01.2022 22:00 - 05.01.2022 23:00 (CET/CEST)","2187"
"Italy (IT)","05.01.2022 23:00 - 06.01.2022 00:00 (CET/CEST)","2058"
"Italy (IT)","06.01.2022 00:00 - 06.01.2022 01:00 (CET/CEST)","2181"
"Italy (IT)","06.01.2022 01:00 - 06.01.2022 02:00 (CET/CEST)","2150"
"Italy (IT)","06.01.2022 02:00 - 06.01.2022 03:00 (CET/CEST)","1853"
"Italy (IT)","06.01.2022 03:00 - 06.01.2022 04:00 (CET/CEST)","1771"
"Italy (IT)","06.01.2022 04:00 - 06.01.2022 05:00 (CET/CEST)","1789"
"Italy (IT)","06.01.2022 05:00 - 06.01.2022 06:00 (CET/CEST)","1799"
"Italy (IT)","06.01.2022 06:00 - 06.01.2022 07:00 (CET/CEST)","2025"
"Italy (IT)","06.01.2022 07:00 - 06.01.2022 08:00 (CET/CEST)","2983"
"Italy (IT)","06.01.2022 08:00 - 06.01.2022 09:00 (CET/CEST)","3907"
"Italy (IT)","06.01.2022 09:00 - 06.01.2022 10:00 (CET/CEST)","4122"
"Italy (IT)","06.01.2022 10:00 - 06.01.2022 11:00 (CET/CEST)","3351"
