"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Switzerland (CH)","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","22","","156"
"Switzerland (CH)","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","59","","167"
"Switzerland (CH)","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","57","","151"
"Switzerland (CH)","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","63","","120"
"Switzerland (CH)","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","28","","121"
"Switzerland (CH)","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","32","","117"
"Switzerland (CH)","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","146","","120"
"Switzerland (CH)","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","161","","135"
"Switzerland (CH)","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","50","","145"
"Switzerland (CH)","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","51","","144"
"Switzerland (CH)","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","46","","161"
"Switzerland (CH)","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","41","","150"
"Switzerland (CH)","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","64","","145"
"Switzerland (CH)","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","81","","136"
"Switzerland (CH)","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","171","","150"
"Switzerland (CH)","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","181","","172"
"Switzerland (CH)","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","189","","188"
"Switzerland (CH)","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","439","","337"
"Switzerland (CH)","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","728","","414"
"Switzerland (CH)","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","259","","291"
"Switzerland (CH)","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","247","","233"
"Switzerland (CH)","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","173","","174"
"Switzerland (CH)","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","195","","172"
"Switzerland (CH)","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","120","","178"
"Switzerland (CH)","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","113","","144"
"Switzerland (CH)","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","46","","150"
"Switzerland (CH)","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","41","","124"
"Switzerland (CH)","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","50","","122"
"Switzerland (CH)","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","45","","142"
"Switzerland (CH)","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","45","","145"
"Switzerland (CH)","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","95","","139"
"Switzerland (CH)","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","102","","185"
"Switzerland (CH)","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","166","","173"
"Switzerland (CH)","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","87","","165"
"Switzerland (CH)","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","70","","166"
"Switzerland (CH)","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","52","","154"
"Switzerland (CH)","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","70","","155"
"Switzerland (CH)","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","55","","152"
"Switzerland (CH)","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","62","","151"
"Switzerland (CH)","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","175","","178"
"Switzerland (CH)","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","210","","208"
"Switzerland (CH)","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","491","","217"
"Switzerland (CH)","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","613","","261"
"Switzerland (CH)","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","487","","146"
"Switzerland (CH)","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","192","","159"
"Switzerland (CH)","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","146","","177"
"Switzerland (CH)","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","179","","197"
"Switzerland (CH)","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","108","","164"
"Switzerland (CH)","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","38","","115"
"Switzerland (CH)","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","43","","139"
"Switzerland (CH)","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","70","","138"
