"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Switzerland (CH)","03.01.2023 13:00 - 03.01.2023 14:00 (CET/CEST)","2104","","305"
"Switzerland (CH)","03.01.2023 14:00 - 03.01.2023 15:00 (CET/CEST)","2245","","413"
"Switzerland (CH)","03.01.2023 15:00 - 03.01.2023 16:00 (CET/CEST)","2210","","562"
"Switzerland (CH)","03.01.2023 16:00 - 03.01.2023 17:00 (CET/CEST)","2020","","662"
"Switzerland (CH)","03.01.2023 17:00 - 03.01.2023 18:00 (CET/CEST)","2017","","726"
"Switzerland (CH)","03.01.2023 18:00 - 03.01.2023 19:00 (CET/CEST)","2363","","780"
"Switzerland (CH)","03.01.2023 19:00 - 03.01.2023 20:00 (CET/CEST)","1667","","560"
"Switzerland (CH)","03.01.2023 20:00 - 03.01.2023 21:00 (CET/CEST)","905","","129"
"Switzerland (CH)","03.01.2023 21:00 - 03.01.2023 22:00 (CET/CEST)","503","","84"
"Switzerland (CH)","03.01.2023 22:00 - 03.01.2023 23:00 (CET/CEST)","283","","131"
"Switzerland (CH)","03.01.2023 23:00 - 04.01.2023 00:00 (CET/CEST)","174","","92"
"Switzerland (CH)","04.01.2023 00:00 - 04.01.2023 01:00 (CET/CEST)","147","","65"
"Switzerland (CH)","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","119","","54"
"Switzerland (CH)","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","145","","60"
"Switzerland (CH)","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","99","","48"
"Switzerland (CH)","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","113","","42"
"Switzerland (CH)","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","141","","60"
"Switzerland (CH)","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","346","","156"
"Switzerland (CH)","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","540","","258"
"Switzerland (CH)","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","890","","431"
"Switzerland (CH)","04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","1001","","495"
"Switzerland (CH)","04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","792","","336"
"Switzerland (CH)","04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","704","","205"
"Switzerland (CH)","04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","760","","252"
"Switzerland (CH)","04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","689","","159"
"Switzerland (CH)","04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","811","","171"
"Switzerland (CH)","04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","725","","245"
"Switzerland (CH)","04.01.2023 16:00 - 04.01.2023 17:00 (CET/CEST)","790","","337"
"Switzerland (CH)","04.01.2023 17:00 - 04.01.2023 18:00 (CET/CEST)","1077","","413"
"Switzerland (CH)","04.01.2023 18:00 - 04.01.2023 19:00 (CET/CEST)","1503","","559"
"Switzerland (CH)","04.01.2023 19:00 - 04.01.2023 20:00 (CET/CEST)","1119","","246"
"Switzerland (CH)","04.01.2023 20:00 - 04.01.2023 21:00 (CET/CEST)","538","","71"
"Switzerland (CH)","04.01.2023 21:00 - 04.01.2023 22:00 (CET/CEST)","515","","75"
"Switzerland (CH)","04.01.2023 22:00 - 04.01.2023 23:00 (CET/CEST)","480","","73"
"Switzerland (CH)","04.01.2023 23:00 - 05.01.2023 00:00 (CET/CEST)","246","","160"
"Switzerland (CH)","05.01.2023 00:00 - 05.01.2023 01:00 (CET/CEST)","196","","131"
"Switzerland (CH)","05.01.2023 01:00 - 05.01.2023 02:00 (CET/CEST)","67","","107"
"Switzerland (CH)","05.01.2023 02:00 - 05.01.2023 03:00 (CET/CEST)","54","","90"
"Switzerland (CH)","05.01.2023 03:00 - 05.01.2023 04:00 (CET/CEST)","54","","63"
"Switzerland (CH)","05.01.2023 04:00 - 05.01.2023 05:00 (CET/CEST)","98","","97"
"Switzerland (CH)","05.01.2023 05:00 - 05.01.2023 06:00 (CET/CEST)","114","","79"
"Switzerland (CH)","05.01.2023 06:00 - 05.01.2023 07:00 (CET/CEST)","244","","129"
"Switzerland (CH)","05.01.2023 07:00 - 05.01.2023 08:00 (CET/CEST)","557","","153"
"Switzerland (CH)","05.01.2023 08:00 - 05.01.2023 09:00 (CET/CEST)","1068","","157"
"Switzerland (CH)","05.01.2023 09:00 - 05.01.2023 10:00 (CET/CEST)","1175","","185"
"Switzerland (CH)","05.01.2023 10:00 - 05.01.2023 11:00 (CET/CEST)","1317","","138"
"Switzerland (CH)","05.01.2023 11:00 - 05.01.2023 12:00 (CET/CEST)","1688","","158"
"Switzerland (CH)","05.01.2023 12:00 - 05.01.2023 13:00 (CET/CEST)","938","","188"
"Switzerland (CH)","05.01.2023 13:00 - 05.01.2023 14:00 (CET/CEST)","622","","174"
"Switzerland (CH)","05.01.2023 14:00 - 05.01.2023 15:00 (CET/CEST)","762","","201"
"Switzerland (CH)","05.01.2023 15:00 - 05.01.2023 16:00 (CET/CEST)","1232","","328"
"Switzerland (CH)","05.01.2023 16:00 - 05.01.2023 17:00 (CET/CEST)","1870","","464"
"Switzerland (CH)","05.01.2023 17:00 - 05.01.2023 18:00 (CET/CEST)","2671","","1131"
"Switzerland (CH)","05.01.2023 18:00 - 05.01.2023 19:00 (CET/CEST)","2612","","1050"
"Switzerland (CH)","05.01.2023 19:00 - 05.01.2023 20:00 (CET/CEST)","1031","","343"
"Switzerland (CH)","05.01.2023 20:00 - 05.01.2023 21:00 (CET/CEST)","652","","212"
"Switzerland (CH)","05.01.2023 21:00 - 05.01.2023 22:00 (CET/CEST)","472","","138"
"Switzerland (CH)","05.01.2023 22:00 - 05.01.2023 23:00 (CET/CEST)","288","","136"
"Switzerland (CH)","05.01.2023 23:00 - 06.01.2023 00:00 (CET/CEST)","133","","243"
"Switzerland (CH)","06.01.2023 00:00 - 06.01.2023 01:00 (CET/CEST)","212","","192"
"Switzerland (CH)","06.01.2023 01:00 - 06.01.2023 02:00 (CET/CEST)","121","","157"
"Switzerland (CH)","06.01.2023 02:00 - 06.01.2023 03:00 (CET/CEST)","105","","170"
"Switzerland (CH)","06.01.2023 03:00 - 06.01.2023 04:00 (CET/CEST)","145","","134"
"Switzerland (CH)","06.01.2023 04:00 - 06.01.2023 05:00 (CET/CEST)","135","","134"
"Switzerland (CH)","06.01.2023 05:00 - 06.01.2023 06:00 (CET/CEST)","237","","179"
"Switzerland (CH)","06.01.2023 06:00 - 06.01.2023 07:00 (CET/CEST)","433","","129"
"Switzerland (CH)","06.01.2023 07:00 - 06.01.2023 08:00 (CET/CEST)","788","","173"
"Switzerland (CH)","06.01.2023 08:00 - 06.01.2023 09:00 (CET/CEST)","1090","","317"
"Switzerland (CH)","06.01.2023 09:00 - 06.01.2023 10:00 (CET/CEST)","1058","","334"
"Switzerland (CH)","06.01.2023 10:00 - 06.01.2023 11:00 (CET/CEST)","970","","204"
"Switzerland (CH)","06.01.2023 11:00 - 06.01.2023 12:00 (CET/CEST)","1108","","230"
"Switzerland (CH)","06.01.2023 12:00 - 06.01.2023 13:00 (CET/CEST)","809","","171"
"Switzerland (CH)","06.01.2023 13:00 - 06.01.2023 14:00 (CET/CEST)","503","","209"
"Switzerland (CH)","06.01.2023 14:00 - 06.01.2023 15:00 (CET/CEST)","1241","","255"
"Switzerland (CH)","06.01.2023 15:00 - 06.01.2023 16:00 (CET/CEST)","1302","","285"
"Switzerland (CH)","06.01.2023 16:00 - 06.01.2023 17:00 (CET/CEST)","1162","","236"
"Switzerland (CH)","06.01.2023 17:00 - 06.01.2023 18:00 (CET/CEST)","2094","","566"
"Switzerland (CH)","06.01.2023 18:00 - 06.01.2023 19:00 (CET/CEST)","1924","","783"
"Switzerland (CH)","06.01.2023 19:00 - 06.01.2023 20:00 (CET/CEST)","1201","","481"
"Switzerland (CH)","06.01.2023 20:00 - 06.01.2023 21:00 (CET/CEST)","637","","309"
"Switzerland (CH)","06.01.2023 21:00 - 06.01.2023 22:00 (CET/CEST)","603","","98"
"Switzerland (CH)","06.01.2023 22:00 - 06.01.2023 23:00 (CET/CEST)","564","","104"
"Switzerland (CH)","06.01.2023 23:00 - 07.01.2023 00:00 (CET/CEST)","577","","84"
"Switzerland (CH)","07.01.2023 00:00 - 07.01.2023 01:00 (CET/CEST)","358","","43"
"Switzerland (CH)","07.01.2023 01:00 - 07.01.2023 02:00 (CET/CEST)","170","","62"
"Switzerland (CH)","07.01.2023 02:00 - 07.01.2023 03:00 (CET/CEST)","155","","81"
"Switzerland (CH)","07.01.2023 03:00 - 07.01.2023 04:00 (CET/CEST)","140","","52"
"Switzerland (CH)","07.01.2023 04:00 - 07.01.2023 05:00 (CET/CEST)","157","","40"
"Switzerland (CH)","07.01.2023 05:00 - 07.01.2023 06:00 (CET/CEST)","128","","55"
"Switzerland (CH)","07.01.2023 06:00 - 07.01.2023 07:00 (CET/CEST)","272","","112"
"Switzerland (CH)","07.01.2023 07:00 - 07.01.2023 08:00 (CET/CEST)","609","","164"
"Switzerland (CH)","07.01.2023 08:00 - 07.01.2023 09:00 (CET/CEST)","606","","249"
"Switzerland (CH)","07.01.2023 09:00 - 07.01.2023 10:00 (CET/CEST)","519","","190"
"Switzerland (CH)","07.01.2023 10:00 - 07.01.2023 11:00 (CET/CEST)","298","","90"
"Switzerland (CH)","07.01.2023 11:00 - 07.01.2023 12:00 (CET/CEST)","298","","63"
"Switzerland (CH)","07.01.2023 12:00 - 07.01.2023 13:00 (CET/CEST)","385","","105"
"Switzerland (CH)","07.01.2023 13:00 - 07.01.2023 14:00 (CET/CEST)","289","","114"
"Switzerland (CH)","07.01.2023 14:00 - 07.01.2023 15:00 (CET/CEST)","400","","92"
"Switzerland (CH)","07.01.2023 15:00 - 07.01.2023 16:00 (CET/CEST)","998","","363"
"Switzerland (CH)","07.01.2023 16:00 - 07.01.2023 17:00 (CET/CEST)","1036","","301"
"Switzerland (CH)","07.01.2023 17:00 - 07.01.2023 18:00 (CET/CEST)","1344","","498"
"Switzerland (CH)","07.01.2023 18:00 - 07.01.2023 19:00 (CET/CEST)","1135","","579"
"Switzerland (CH)","07.01.2023 19:00 - 07.01.2023 20:00 (CET/CEST)","960","","486"
"Switzerland (CH)","07.01.2023 20:00 - 07.01.2023 21:00 (CET/CEST)","710","","427"
"Switzerland (CH)","07.01.2023 21:00 - 07.01.2023 22:00 (CET/CEST)","489","","318"
"Switzerland (CH)","07.01.2023 22:00 - 07.01.2023 23:00 (CET/CEST)","519","","353"
"Switzerland (CH)","07.01.2023 23:00 - 08.01.2023 00:00 (CET/CEST)","306","","135"
"Switzerland (CH)","08.01.2023 00:00 - 08.01.2023 01:00 (CET/CEST)","364","","85"
