"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2021 00:00 - 01.01.2021 00:15 (CET/CEST)","171","0","250"
"Austria (AT)","01.01.2021 00:15 - 01.01.2021 00:30 (CET/CEST)","166","0","268"
"Austria (AT)","01.01.2021 00:30 - 01.01.2021 00:45 (CET/CEST)","175","0","215"
"Austria (AT)","01.01.2021 00:45 - 01.01.2021 01:00 (CET/CEST)","197","0","235"
"Austria (AT)","01.01.2021 01:00 - 01.01.2021 01:15 (CET/CEST)","90","0","281"
"Austria (AT)","01.01.2021 01:15 - 01.01.2021 01:30 (CET/CEST)","103","0","216"
"Austria (AT)","01.01.2021 01:30 - 01.01.2021 01:45 (CET/CEST)","103","0","162"
"Austria (AT)","01.01.2021 01:45 - 01.01.2021 02:00 (CET/CEST)","106","0","110"
"Austria (AT)","01.01.2021 02:00 - 01.01.2021 02:15 (CET/CEST)","117","0","155"
"Austria (AT)","01.01.2021 02:15 - 01.01.2021 02:30 (CET/CEST)","87","0","112"
"Austria (AT)","01.01.2021 02:30 - 01.01.2021 02:45 (CET/CEST)","82","0","111"
"Austria (AT)","01.01.2021 02:45 - 01.01.2021 03:00 (CET/CEST)","58","0","118"
"Austria (AT)","01.01.2021 03:00 - 01.01.2021 03:15 (CET/CEST)","33","0","104"
"Austria (AT)","01.01.2021 03:15 - 01.01.2021 03:30 (CET/CEST)","23","0","100"
"Austria (AT)","01.01.2021 03:30 - 01.01.2021 03:45 (CET/CEST)","11","0","100"
"Austria (AT)","01.01.2021 03:45 - 01.01.2021 04:00 (CET/CEST)","1","0","96"
"Austria (AT)","01.01.2021 04:00 - 01.01.2021 04:15 (CET/CEST)","0","273","96"
"Austria (AT)","01.01.2021 04:15 - 01.01.2021 04:30 (CET/CEST)","0","287","74"
"Austria (AT)","01.01.2021 04:30 - 01.01.2021 04:45 (CET/CEST)","0","294","86"
"Austria (AT)","01.01.2021 04:45 - 01.01.2021 05:00 (CET/CEST)","0","294","96"
"Austria (AT)","01.01.2021 05:00 - 01.01.2021 05:15 (CET/CEST)","0","307","147"
"Austria (AT)","01.01.2021 05:15 - 01.01.2021 05:30 (CET/CEST)","0","288","83"
"Austria (AT)","01.01.2021 05:30 - 01.01.2021 05:45 (CET/CEST)","0","276","104"
"Austria (AT)","01.01.2021 05:45 - 01.01.2021 06:00 (CET/CEST)","0","216","110"
"Austria (AT)","01.01.2021 06:00 - 01.01.2021 06:15 (CET/CEST)","0","401","84"
"Austria (AT)","01.01.2021 06:15 - 01.01.2021 06:30 (CET/CEST)","0","388","145"
"Austria (AT)","01.01.2021 06:30 - 01.01.2021 06:45 (CET/CEST)","0","393","183"
"Austria (AT)","01.01.2021 06:45 - 01.01.2021 07:00 (CET/CEST)","0","361","216"
"Austria (AT)","01.01.2021 07:00 - 01.01.2021 07:15 (CET/CEST)","5","0","210"
"Austria (AT)","01.01.2021 07:15 - 01.01.2021 07:30 (CET/CEST)","0","29","146"
"Austria (AT)","01.01.2021 07:30 - 01.01.2021 07:45 (CET/CEST)","0","47","124"
"Austria (AT)","01.01.2021 07:45 - 01.01.2021 08:00 (CET/CEST)","0","47","126"
"Austria (AT)","01.01.2021 08:00 - 01.01.2021 08:15 (CET/CEST)","115","0","113"
"Austria (AT)","01.01.2021 08:15 - 01.01.2021 08:30 (CET/CEST)","109","0","122"
"Austria (AT)","01.01.2021 08:30 - 01.01.2021 08:45 (CET/CEST)","122","0","109"
"Austria (AT)","01.01.2021 08:45 - 01.01.2021 09:00 (CET/CEST)","158","0","131"
"Austria (AT)","01.01.2021 09:00 - 01.01.2021 09:15 (CET/CEST)","176","0","164"
"Austria (AT)","01.01.2021 09:15 - 01.01.2021 09:30 (CET/CEST)","173","0","172"
"Austria (AT)","01.01.2021 09:30 - 01.01.2021 09:45 (CET/CEST)","189","0","157"
"Austria (AT)","01.01.2021 09:45 - 01.01.2021 10:00 (CET/CEST)","190","0","182"
"Austria (AT)","01.01.2021 10:00 - 01.01.2021 10:15 (CET/CEST)","154","0","168"
"Austria (AT)","01.01.2021 10:15 - 01.01.2021 10:30 (CET/CEST)","174","0","170"
"Austria (AT)","01.01.2021 10:30 - 01.01.2021 10:45 (CET/CEST)","178","0","180"
"Austria (AT)","01.01.2021 10:45 - 01.01.2021 11:00 (CET/CEST)","177","0","161"
"Austria (AT)","01.01.2021 11:00 - 01.01.2021 11:15 (CET/CEST)","211","0","163"
"Austria (AT)","01.01.2021 11:15 - 01.01.2021 11:30 (CET/CEST)","221","0","198"
"Austria (AT)","01.01.2021 11:30 - 01.01.2021 11:45 (CET/CEST)","218","0","182"
"Austria (AT)","01.01.2021 11:45 - 01.01.2021 12:00 (CET/CEST)","238","0","199"
"Austria (AT)","01.01.2021 12:00 - 01.01.2021 12:15 (CET/CEST)","196","0","215"
"Austria (AT)","01.01.2021 12:15 - 01.01.2021 12:30 (CET/CEST)","175","0","119"
"Austria (AT)","01.01.2021 12:30 - 01.01.2021 12:45 (CET/CEST)","178","0","203"
"Austria (AT)","01.01.2021 12:45 - 01.01.2021 13:00 (CET/CEST)","163","0","128"
"Austria (AT)","01.01.2021 13:00 - 01.01.2021 13:15 (CET/CEST)","206","0","168"
"Austria (AT)","01.01.2021 13:15 - 01.01.2021 13:30 (CET/CEST)","200","0","135"
"Austria (AT)","01.01.2021 13:30 - 01.01.2021 13:45 (CET/CEST)","145","0","129"
"Austria (AT)","01.01.2021 13:45 - 01.01.2021 14:00 (CET/CEST)","117","0","116"
"Austria (AT)","01.01.2021 14:00 - 01.01.2021 14:15 (CET/CEST)","126","0","163"
"Austria (AT)","01.01.2021 14:15 - 01.01.2021 14:30 (CET/CEST)","158","0","164"
"Austria (AT)","01.01.2021 14:30 - 01.01.2021 14:45 (CET/CEST)","119","0","105"
"Austria (AT)","01.01.2021 14:45 - 01.01.2021 15:00 (CET/CEST)","133","0","85"
"Austria (AT)","01.01.2021 15:00 - 01.01.2021 15:15 (CET/CEST)","140","0","107"
"Austria (AT)","01.01.2021 15:15 - 01.01.2021 15:30 (CET/CEST)","138","0","118"
"Austria (AT)","01.01.2021 15:30 - 01.01.2021 15:45 (CET/CEST)","127","0","178"
"Austria (AT)","01.01.2021 15:45 - 01.01.2021 16:00 (CET/CEST)","201","0","204"
"Austria (AT)","01.01.2021 16:00 - 01.01.2021 16:15 (CET/CEST)","210","0","156"
"Austria (AT)","01.01.2021 16:15 - 01.01.2021 16:30 (CET/CEST)","216","0","189"
"Austria (AT)","01.01.2021 16:30 - 01.01.2021 16:45 (CET/CEST)","212","0","274"
"Austria (AT)","01.01.2021 16:45 - 01.01.2021 17:00 (CET/CEST)","516","0","326"
"Austria (AT)","01.01.2021 17:00 - 01.01.2021 17:15 (CET/CEST)","1173","0","359"
"Austria (AT)","01.01.2021 17:15 - 01.01.2021 17:30 (CET/CEST)","1154","0","379"
"Austria (AT)","01.01.2021 17:30 - 01.01.2021 17:45 (CET/CEST)","1156","0","373"
"Austria (AT)","01.01.2021 17:45 - 01.01.2021 18:00 (CET/CEST)","1150","0","380"
"Austria (AT)","01.01.2021 18:00 - 01.01.2021 18:15 (CET/CEST)","1254","0","472"
"Austria (AT)","01.01.2021 18:15 - 01.01.2021 18:30 (CET/CEST)","1220","0","422"
"Austria (AT)","01.01.2021 18:30 - 01.01.2021 18:45 (CET/CEST)","1217","0","401"
"Austria (AT)","01.01.2021 18:45 - 01.01.2021 19:00 (CET/CEST)","1182","0","348"
"Austria (AT)","01.01.2021 19:00 - 01.01.2021 19:15 (CET/CEST)","1115","0","375"
"Austria (AT)","01.01.2021 19:15 - 01.01.2021 19:30 (CET/CEST)","1111","0","330"
"Austria (AT)","01.01.2021 19:30 - 01.01.2021 19:45 (CET/CEST)","1147","0","301"
"Austria (AT)","01.01.2021 19:45 - 01.01.2021 20:00 (CET/CEST)","1092","0","299"
"Austria (AT)","01.01.2021 20:00 - 01.01.2021 20:15 (CET/CEST)","750","0","375"
