"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST)","0","1405","70"
"Austria (AT)","01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST)","0","1533","67"
"Austria (AT)","01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST)","0","1544","100"
"Austria (AT)","01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST)","0","1580","78"
"Austria (AT)","01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST)","0","1591","63"
"Austria (AT)","01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST)","0","1603","74"
"Austria (AT)","01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST)","0","1572","69"
"Austria (AT)","01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST)","0","1579","71"
"Austria (AT)","01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST)","0","1650","75"
"Austria (AT)","01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST)","0","1702","66"
"Austria (AT)","01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST)","0","1716","67"
"Austria (AT)","01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST)","0","1719","64"
"Austria (AT)","01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST)","0","1766","67"
"Austria (AT)","01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST)","0","1727","67"
"Austria (AT)","01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST)","0","1692","85"
"Austria (AT)","01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST)","0","1708","66"
"Austria (AT)","01.01.2023 04:00 - 01.01.2023 04:15 (CET/CEST)","0","1718","75"
"Austria (AT)","01.01.2023 04:15 - 01.01.2023 04:30 (CET/CEST)","0","1701","127"
"Austria (AT)","01.01.2023 04:30 - 01.01.2023 04:45 (CET/CEST)","0","1624","110"
"Austria (AT)","01.01.2023 04:45 - 01.01.2023 05:00 (CET/CEST)","0","1619","128"
"Austria (AT)","01.01.2023 05:00 - 01.01.2023 05:15 (CET/CEST)","0","1552","101"
"Austria (AT)","01.01.2023 05:15 - 01.01.2023 05:30 (CET/CEST)","0","1546","112"
"Austria (AT)","01.01.2023 05:30 - 01.01.2023 05:45 (CET/CEST)","0","1545","116"
"Austria (AT)","01.01.2023 05:45 - 01.01.2023 06:00 (CET/CEST)","0","1518","108"
"Austria (AT)","01.01.2023 06:00 - 01.01.2023 06:15 (CET/CEST)","0","1161","120"
"Austria (AT)","01.01.2023 06:15 - 01.01.2023 06:30 (CET/CEST)","0","1078","76"
"Austria (AT)","01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST)","0","1010","94"
"Austria (AT)","01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST)","0","983","86"
"Austria (AT)","01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST)","0","1087","122"
"Austria (AT)","01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST)","0","1057","126"
"Austria (AT)","01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST)","0","1068","151"
"Austria (AT)","01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST)","0","1060","166"
"Austria (AT)","01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST)","0","871","125"
"Austria (AT)","01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST)","0","834","104"
"Austria (AT)","01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST)","0","829","113"
"Austria (AT)","01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST)","0","830","110"
"Austria (AT)","01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST)","0","910","149"
"Austria (AT)","01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST)","0","934","151"
"Austria (AT)","01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST)","0","986","156"
"Austria (AT)","01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST)","0","976","154"
"Austria (AT)","01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST)","0","968","136"
"Austria (AT)","01.01.2023 10:15 - 01.01.2023 10:30 (CET/CEST)","0","996","136"
"Austria (AT)","01.01.2023 10:30 - 01.01.2023 10:45 (CET/CEST)","0","1052","142"
"Austria (AT)","01.01.2023 10:45 - 01.01.2023 11:00 (CET/CEST)","0","1044","146"
"Austria (AT)","01.01.2023 11:00 - 01.01.2023 11:15 (CET/CEST)","0","1024","157"
"Austria (AT)","01.01.2023 11:15 - 01.01.2023 11:30 (CET/CEST)","0","1005","158"
"Austria (AT)","01.01.2023 11:30 - 01.01.2023 11:45 (CET/CEST)","0","996","157"
"Austria (AT)","01.01.2023 11:45 - 01.01.2023 12:00 (CET/CEST)","0","980","168"
"Austria (AT)","01.01.2023 12:00 - 01.01.2023 12:15 (CET/CEST)","0","806","172"
"Austria (AT)","01.01.2023 12:15 - 01.01.2023 12:30 (CET/CEST)","0","824","203"
"Austria (AT)","01.01.2023 12:30 - 01.01.2023 12:45 (CET/CEST)","0","771","192"
"Austria (AT)","01.01.2023 12:45 - 01.01.2023 13:00 (CET/CEST)","0","829","182"
"Austria (AT)","01.01.2023 13:00 - 01.01.2023 13:15 (CET/CEST)","0","894","152"
"Austria (AT)","01.01.2023 13:15 - 01.01.2023 13:30 (CET/CEST)","0","908","142"
"Austria (AT)","01.01.2023 13:30 - 01.01.2023 13:45 (CET/CEST)","0","904","153"
"Austria (AT)","01.01.2023 13:45 - 01.01.2023 14:00 (CET/CEST)","0","887","190"
"Austria (AT)","01.01.2023 14:00 - 01.01.2023 14:15 (CET/CEST)","0","648","207"
"Austria (AT)","01.01.2023 14:15 - 01.01.2023 14:30 (CET/CEST)","0","536","141"
"Austria (AT)","01.01.2023 14:30 - 01.01.2023 14:45 (CET/CEST)","0","463","131"
"Austria (AT)","01.01.2023 14:45 - 01.01.2023 15:00 (CET/CEST)","0","439","170"
"Austria (AT)","01.01.2023 15:00 - 01.01.2023 15:15 (CET/CEST)","0","345","152"
"Austria (AT)","01.01.2023 15:15 - 01.01.2023 15:30 (CET/CEST)","0","314","173"
"Austria (AT)","01.01.2023 15:30 - 01.01.2023 15:45 (CET/CEST)","0","293","178"
"Austria (AT)","01.01.2023 15:45 - 01.01.2023 16:00 (CET/CEST)","0","219","192"
"Austria (AT)","01.01.2023 16:00 - 01.01.2023 16:15 (CET/CEST)","242","0","219"
"Austria (AT)","01.01.2023 16:15 - 01.01.2023 16:30 (CET/CEST)","331","0","161"
"Austria (AT)","01.01.2023 16:30 - 01.01.2023 16:45 (CET/CEST)","380","0","184"
"Austria (AT)","01.01.2023 16:45 - 01.01.2023 17:00 (CET/CEST)","454","0","216"
"Austria (AT)","01.01.2023 17:00 - 01.01.2023 17:15 (CET/CEST)","874","0","225"
"Austria (AT)","01.01.2023 17:15 - 01.01.2023 17:30 (CET/CEST)","876","0","220"
"Austria (AT)","01.01.2023 17:30 - 01.01.2023 17:45 (CET/CEST)","856","0","234"
"Austria (AT)","01.01.2023 17:45 - 01.01.2023 18:00 (CET/CEST)","810","0","233"
"Austria (AT)","01.01.2023 18:00 - 01.01.2023 18:15 (CET/CEST)","875","0","200"
"Austria (AT)","01.01.2023 18:15 - 01.01.2023 18:30 (CET/CEST)","888","0","203"
"Austria (AT)","01.01.2023 18:30 - 01.01.2023 18:45 (CET/CEST)","942","0","206"
"Austria (AT)","01.01.2023 18:45 - 01.01.2023 19:00 (CET/CEST)","992","0","212"
"Austria (AT)","01.01.2023 19:00 - 01.01.2023 19:15 (CET/CEST)","1238","0","219"
"Austria (AT)","01.01.2023 19:15 - 01.01.2023 19:30 (CET/CEST)","1216","0","212"
"Austria (AT)","01.01.2023 19:30 - 01.01.2023 19:45 (CET/CEST)","1182","0","201"
"Austria (AT)","01.01.2023 19:45 - 01.01.2023 20:00 (CET/CEST)","1112","0","196"
"Austria (AT)","01.01.2023 20:00 - 01.01.2023 20:15 (CET/CEST)","633","0","198"
"Austria (AT)","01.01.2023 20:15 - 01.01.2023 20:30 (CET/CEST)","576","0","177"
"Austria (AT)","01.01.2023 20:30 - 01.01.2023 20:45 (CET/CEST)","604","0","176"
"Austria (AT)","01.01.2023 20:45 - 01.01.2023 21:00 (CET/CEST)","585","0","177"
"Austria (AT)","01.01.2023 21:00 - 01.01.2023 21:15 (CET/CEST)","226","0","131"
"Austria (AT)","01.01.2023 21:15 - 01.01.2023 21:30 (CET/CEST)","206","0","130"
"Austria (AT)","01.01.2023 21:30 - 01.01.2023 21:45 (CET/CEST)","176","0","130"
"Austria (AT)","01.01.2023 21:45 - 01.01.2023 22:00 (CET/CEST)","176","0","133"
"Austria (AT)","01.01.2023 22:00 - 01.01.2023 22:15 (CET/CEST)","213","0","130"
"Austria (AT)","01.01.2023 22:15 - 01.01.2023 22:30 (CET/CEST)","247","0","140"
"Austria (AT)","01.01.2023 22:30 - 01.01.2023 22:45 (CET/CEST)","264","0","131"
"Austria (AT)","01.01.2023 22:45 - 01.01.2023 23:00 (CET/CEST)","204","0","133"
"Austria (AT)","01.01.2023 23:00 - 01.01.2023 23:15 (CET/CEST)","0","55","195"
"Austria (AT)","01.01.2023 23:15 - 01.01.2023 23:30 (CET/CEST)","0","72","183"
"Austria (AT)","01.01.2023 23:30 - 01.01.2023 23:45 (CET/CEST)","0","80","156"
"Austria (AT)","01.01.2023 23:45 - 02.01.2023 00:00 (CET/CEST)","0","143","150"
"Austria (AT)","02.01.2023 00:00 - 02.01.2023 00:15 (CET/CEST)","0","569","115"
"Austria (AT)","02.01.2023 00:15 - 02.01.2023 00:30 (CET/CEST)","0","680","132"
"Austria (AT)","02.01.2023 00:30 - 02.01.2023 00:45 (CET/CEST)","0","783","196"
