"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","112","","9804"
"Norway (NO)","01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","106","","9836"
"Norway (NO)","01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","109","","10141"
"Norway (NO)","01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","111","","9269"
"Norway (NO)","01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","100","","9031"
"Norway (NO)","01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","104","","9195"
"Norway (NO)","01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","127","","9138"
"Norway (NO)","01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","135","","9050"
"Norway (NO)","01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","140","","9361"
"Norway (NO)","01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","143","","9692"
"Norway (NO)","01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","142","","9848"
"Norway (NO)","01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","141","","9994"
"Norway (NO)","01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","141","","9785"
"Norway (NO)","01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","140","","9508"
"Norway (NO)","01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","143","","10186"
"Norway (NO)","01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","141","","10546"
"Norway (NO)","01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","140","","11096"
"Norway (NO)","01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","150","","12301"
"Norway (NO)","01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","149","","12403"
"Norway (NO)","01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","141","","11023"
"Norway (NO)","01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","138","","10002"
"Norway (NO)","01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","127","","9523"
"Norway (NO)","01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","127","","9124"
"Norway (NO)","01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","128","","8654"
"Norway (NO)","02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","104","","8606"
"Norway (NO)","02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","104","","8719"
"Norway (NO)","02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","102","","8449"
"Norway (NO)","02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","101","","8193"
"Norway (NO)","02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","95","","7810"
"Norway (NO)","02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","102","","7619"
"Norway (NO)","02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","104","","7770"
"Norway (NO)","02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","102","","8507"
"Norway (NO)","02.01.2022 08:00 - 02.01.2022 09:00 (CET/CEST)","108","","9080"
"Norway (NO)","02.01.2022 09:00 - 02.01.2022 10:00 (CET/CEST)","108","","9390"
"Norway (NO)","02.01.2022 10:00 - 02.01.2022 11:00 (CET/CEST)","109","","10191"
"Norway (NO)","02.01.2022 11:00 - 02.01.2022 12:00 (CET/CEST)","108","","11036"
"Norway (NO)","02.01.2022 12:00 - 02.01.2022 13:00 (CET/CEST)","108","","10906"
"Norway (NO)","02.01.2022 13:00 - 02.01.2022 14:00 (CET/CEST)","109","","11187"
"Norway (NO)","02.01.2022 14:00 - 02.01.2022 15:00 (CET/CEST)","109","","11751"
"Norway (NO)","02.01.2022 15:00 - 02.01.2022 16:00 (CET/CEST)","142","","11671"
"Norway (NO)","02.01.2022 16:00 - 02.01.2022 17:00 (CET/CEST)","144","","11810"
"Norway (NO)","02.01.2022 17:00 - 02.01.2022 18:00 (CET/CEST)","144","","11892"
"Norway (NO)","02.01.2022 18:00 - 02.01.2022 19:00 (CET/CEST)","143","","11914"
"Norway (NO)","02.01.2022 19:00 - 02.01.2022 20:00 (CET/CEST)","119","","10998"
"Norway (NO)","02.01.2022 20:00 - 02.01.2022 21:00 (CET/CEST)","112","","9195"
"Norway (NO)","02.01.2022 21:00 - 02.01.2022 22:00 (CET/CEST)","105","","8975"
"Norway (NO)","02.01.2022 22:00 - 02.01.2022 23:00 (CET/CEST)","109","","9304"
"Norway (NO)","02.01.2022 23:00 - 03.01.2022 00:00 (CET/CEST)","102","","8290"
"Norway (NO)","03.01.2022 00:00 - 03.01.2022 01:00 (CET/CEST)","102","","7252"
"Norway (NO)","03.01.2022 01:00 - 03.01.2022 02:00 (CET/CEST)","101","","7036"
"Norway (NO)","03.01.2022 02:00 - 03.01.2022 03:00 (CET/CEST)","102","","6965"
"Norway (NO)","03.01.2022 03:00 - 03.01.2022 04:00 (CET/CEST)","102","","7158"
"Norway (NO)","03.01.2022 04:00 - 03.01.2022 05:00 (CET/CEST)","101","","7166"
"Norway (NO)","03.01.2022 05:00 - 03.01.2022 06:00 (CET/CEST)","101","","8010"
"Norway (NO)","03.01.2022 06:00 - 03.01.2022 07:00 (CET/CEST)","130","","9649"
"Norway (NO)","03.01.2022 07:00 - 03.01.2022 08:00 (CET/CEST)","134","","10979"
"Norway (NO)","03.01.2022 08:00 - 03.01.2022 09:00 (CET/CEST)","132","","11950"
"Norway (NO)","03.01.2022 09:00 - 03.01.2022 10:00 (CET/CEST)","131","","12391"
"Norway (NO)","03.01.2022 10:00 - 03.01.2022 11:00 (CET/CEST)","132","","11946"
"Norway (NO)","03.01.2022 11:00 - 03.01.2022 12:00 (CET/CEST)","133","","12565"
"Norway (NO)","03.01.2022 12:00 - 03.01.2022 13:00 (CET/CEST)","136","","12912"
"Norway (NO)","03.01.2022 13:00 - 03.01.2022 14:00 (CET/CEST)","137","","12932"
"Norway (NO)","03.01.2022 14:00 - 03.01.2022 15:00 (CET/CEST)","139","","13363"
"Norway (NO)","03.01.2022 15:00 - 03.01.2022 16:00 (CET/CEST)","150","","13413"
"Norway (NO)","03.01.2022 16:00 - 03.01.2022 17:00 (CET/CEST)","150","","13830"
"Norway (NO)","03.01.2022 17:00 - 03.01.2022 18:00 (CET/CEST)","150","","14633"
"Norway (NO)","03.01.2022 18:00 - 03.01.2022 19:00 (CET/CEST)","149","","14747"
"Norway (NO)","03.01.2022 19:00 - 03.01.2022 20:00 (CET/CEST)","150","","14642"
"Norway (NO)","03.01.2022 20:00 - 03.01.2022 21:00 (CET/CEST)","150","","14512"
