"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","973","","18019"
"Norway (NO)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","914","","17590"
"Norway (NO)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","865","","16771"
"Norway (NO)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","801","","16434"
"Norway (NO)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","795","","16495"
"Norway (NO)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","875","","16818"
"Norway (NO)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","943","","17689"
"Norway (NO)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","1014","","18567"
"Norway (NO)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","1025","","19104"
"Norway (NO)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","1184","","19514"
"Norway (NO)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","1179","","20211"
"Norway (NO)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","1389","","20814"
"Norway (NO)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","1446","","21145"
"Norway (NO)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","1556","","21216"
"Norway (NO)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","1571","","21541"
"Norway (NO)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","1636","","21914"
"Norway (NO)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","1646","","22010"
"Norway (NO)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","1647","","21864"
"Norway (NO)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","1622","","21758"
"Norway (NO)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","1617","","21280"
"Norway (NO)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","1542","","20772"
"Norway (NO)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","1441","","20666"
