"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","n/e","n/e","14551"
"Norway (NO)","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","n/e","n/e","14157"
"Norway (NO)","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","n/e","n/e","13636"
"Norway (NO)","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","n/e","n/e","13147"
"Norway (NO)","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","n/e","n/e","13032"
"Norway (NO)","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","n/e","n/e","13474"
"Norway (NO)","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","n/e","n/e","12855"
"Norway (NO)","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","n/e","n/e","13162"
"Norway (NO)","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","n/e","n/e","13379"
"Norway (NO)","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","n/e","n/e","14119"
"Norway (NO)","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","n/e","n/e","15095"
"Norway (NO)","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","n/e","n/e","15914"
"Norway (NO)","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","n/e","n/e","16492"
"Norway (NO)","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","n/e","n/e","16933"
"Norway (NO)","01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","n/e","n/e","17693"
"Norway (NO)","01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","n/e","n/e","18953"
"Norway (NO)","01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","n/e","n/e","19813"
"Norway (NO)","01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","n/e","n/e","19870"
"Norway (NO)","01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","n/e","n/e","19424"
"Norway (NO)","01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","n/e","n/e","18418"
"Norway (NO)","01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","n/e","n/e","17876"
"Norway (NO)","01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","n/e","n/e","17304"
"Norway (NO)","01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","n/e","n/e","15994"
"Norway (NO)","01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","n/e","n/e","15292"
