"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","n/e","n/e","10489"
"Norway (NO)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","n/e","n/e","10407"
"Norway (NO)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","n/e","n/e","10234"
"Norway (NO)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","n/e","n/e","9948"
"Norway (NO)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","n/e","n/e","10028"
"Norway (NO)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","n/e","n/e","10340"
"Norway (NO)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","n/e","n/e","10981"
"Norway (NO)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","n/e","n/e","11076"
"Norway (NO)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","n/e","n/e","11270"
"Norway (NO)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","n/e","n/e","12004"
"Norway (NO)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","n/e","n/e","13508"
"Norway (NO)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","n/e","n/e","14278"
"Norway (NO)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","n/e","n/e","14740"
"Norway (NO)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","n/e","n/e","15209"
"Norway (NO)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","n/e","n/e","16127"
"Norway (NO)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","n/e","n/e","18028"
"Norway (NO)","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","n/e","n/e","18972"
"Norway (NO)","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","n/e","n/e","19428"
"Norway (NO)","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","n/e","n/e","19016"
"Norway (NO)","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","n/e","n/e","18527"
"Norway (NO)","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","n/e","n/e","17777"
"Norway (NO)","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","n/e","n/e","17265"
"Norway (NO)","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","n/e","n/e","16289"
"Norway (NO)","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","n/e","n/e","15526"
"Norway (NO)","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","n/e","n/e","14540"
"Norway (NO)","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","n/e","n/e","13760"
"Norway (NO)","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","n/e","n/e","13294"
"Norway (NO)","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","n/e","n/e","13278"
"Norway (NO)","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","n/e","n/e","14504"
"Norway (NO)","02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","n/e","n/e","17221"
"Norway (NO)","02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","n/e","n/e","19641"
"Norway (NO)","02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","n/e","n/e","21513"
"Norway (NO)","02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","n/e","n/e","22018"
"Norway (NO)","02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","n/e","n/e","22195"
"Norway (NO)","02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","n/e","n/e","22375"
"Norway (NO)","02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","n/e","n/e","22090"
"Norway (NO)","02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","n/e","n/e","22024"
"Norway (NO)","02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","n/e","n/e","22208"
"Norway (NO)","02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","n/e","n/e","22456"
"Norway (NO)","02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","n/e","n/e","22849"
"Norway (NO)","02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","n/e","n/e","23098"
"Norway (NO)","02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","n/e","n/e","23000"
"Norway (NO)","02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","n/e","n/e","22504"
"Norway (NO)","02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","n/e","n/e","22165"
"Norway (NO)","02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","n/e","n/e","21558"
"Norway (NO)","02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","n/e","n/e","21779"
"Norway (NO)","02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","n/e","n/e","21131"
"Norway (NO)","02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","n/e","n/e","20429"
"Norway (NO)","03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","n/e","n/e","19200"
"Norway (NO)","03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","n/e","n/e","18343"
"Norway (NO)","03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","n/e","n/e","17730"
"Norway (NO)","03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","n/e","n/e","17762"
"Norway (NO)","03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","n/e","n/e","18316"
"Norway (NO)","03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","n/e","n/e","18929"
"Norway (NO)","03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","n/e","n/e","20342"
"Norway (NO)","03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","n/e","n/e","22026"
"Norway (NO)","03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","n/e","n/e","22267"
"Norway (NO)","03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","n/e","n/e","21531"
"Norway (NO)","03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","n/e","n/e","21075"
"Norway (NO)","03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","n/e","n/e","20604"
"Norway (NO)","03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","n/e","n/e","20070"
"Norway (NO)","03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","n/e","n/e","19749"
"Norway (NO)","03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","n/e","n/e","19759"
"Norway (NO)","03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","n/e","n/e","19481"
"Norway (NO)","03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","n/e","n/e","19500"
"Norway (NO)","03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","n/e","n/e","19612"
"Norway (NO)","03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","n/e","n/e","19195"
