"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Norway (NO)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","n/e","n/e","12039"
"Norway (NO)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","n/e","n/e","12195"
"Norway (NO)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","n/e","n/e","11290"
"Norway (NO)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","n/e","n/e","10028"
"Norway (NO)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","n/e","n/e","10036"
"Norway (NO)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","n/e","n/e","10143"
"Norway (NO)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","n/e","n/e","10624"
"Norway (NO)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","n/e","n/e","11288"
"Norway (NO)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","n/e","n/e","10874"
"Norway (NO)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","n/e","n/e","11113"
"Norway (NO)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","n/e","n/e","12063"
"Norway (NO)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","n/e","n/e","12598"
"Norway (NO)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","n/e","n/e","12857"
"Norway (NO)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","n/e","n/e","12844"
"Norway (NO)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","n/e","n/e","13106"
"Norway (NO)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","n/e","n/e","14094"
"Norway (NO)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","n/e","n/e","14915"
"Norway (NO)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","n/e","n/e","15691"
"Norway (NO)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","n/e","n/e","15459"
"Norway (NO)","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","n/e","n/e","14631"
"Norway (NO)","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","n/e","n/e","13871"
"Norway (NO)","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","n/e","n/e","13358"
"Norway (NO)","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","n/e","n/e","12117"
"Norway (NO)","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","n/e","n/e","10884"
"Norway (NO)","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","n/e","n/e","9912"
"Norway (NO)","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","n/e","n/e","9317"
"Norway (NO)","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","n/e","n/e","9625"
"Norway (NO)","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","n/e","n/e","9692"
"Norway (NO)","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","n/e","n/e","10857"
"Norway (NO)","02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","n/e","n/e","12865"
"Norway (NO)","02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","n/e","n/e","15670"
"Norway (NO)","02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","n/e","n/e","20267"
"Norway (NO)","02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","n/e","n/e","21880"
"Norway (NO)","02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","n/e","n/e","22364"
"Norway (NO)","02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","n/e","n/e","23015"
"Norway (NO)","02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","n/e","n/e","23242"
"Norway (NO)","02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","n/e","n/e","23487"
"Norway (NO)","02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","n/e","n/e","23502"
"Norway (NO)","02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","n/e","n/e","23532"
"Norway (NO)","02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","n/e","n/e","23647"
"Norway (NO)","02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","n/e","n/e","23742"
"Norway (NO)","02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","n/e","n/e","23767"
"Norway (NO)","02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","n/e","n/e","23566"
"Norway (NO)","02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","n/e","n/e","23026"
"Norway (NO)","02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","n/e","n/e","21069"
"Norway (NO)","02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","n/e","n/e","18587"
"Norway (NO)","02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","n/e","n/e","16572"
"Norway (NO)","02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","n/e","n/e","15536"
"Norway (NO)","03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","n/e","n/e","14417"
"Norway (NO)","03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","n/e","n/e","12951"
"Norway (NO)","03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","n/e","n/e","11816"
"Norway (NO)","03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","n/e","n/e","11622"
"Norway (NO)","03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","n/e","n/e","11740"
"Norway (NO)","03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","n/e","n/e","13545"
"Norway (NO)","03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","n/e","n/e","16190"
"Norway (NO)","03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","n/e","n/e","18341"
"Norway (NO)","03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","n/e","n/e","19020"
"Norway (NO)","03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","n/e","n/e","19075"
"Norway (NO)","03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","n/e","n/e","19987"
"Norway (NO)","03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","n/e","n/e","20341"
"Norway (NO)","03.01.2018 12:00 - 03.01.2018 13:00 (CET/CEST)","n/e","n/e","20664"
"Norway (NO)","03.01.2018 13:00 - 03.01.2018 14:00 (CET/CEST)","n/e","n/e","21215"
"Norway (NO)","03.01.2018 14:00 - 03.01.2018 15:00 (CET/CEST)","n/e","n/e","21869"
"Norway (NO)","03.01.2018 15:00 - 03.01.2018 16:00 (CET/CEST)","n/e","n/e","22374"
"Norway (NO)","03.01.2018 16:00 - 03.01.2018 17:00 (CET/CEST)","n/e","n/e","22701"
"Norway (NO)","03.01.2018 17:00 - 03.01.2018 18:00 (CET/CEST)","n/e","n/e","22799"
"Norway (NO)","03.01.2018 18:00 - 03.01.2018 19:00 (CET/CEST)","n/e","n/e","22438"
"Norway (NO)","03.01.2018 19:00 - 03.01.2018 20:00 (CET/CEST)","n/e","n/e","21819"
"Norway (NO)","03.01.2018 20:00 - 03.01.2018 21:00 (CET/CEST)","n/e","n/e","20720"
"Norway (NO)","03.01.2018 21:00 - 03.01.2018 22:00 (CET/CEST)","n/e","n/e","19776"
"Norway (NO)","03.01.2018 22:00 - 03.01.2018 23:00 (CET/CEST)","n/e","n/e","18301"
"Norway (NO)","03.01.2018 23:00 - 04.01.2018 00:00 (CET/CEST)","n/e","n/e","16441"
"Norway (NO)","04.01.2018 00:00 - 04.01.2018 01:00 (CET/CEST)","n/e","n/e","15022"
"Norway (NO)","04.01.2018 01:00 - 04.01.2018 02:00 (CET/CEST)","n/e","n/e","13882"
"Norway (NO)","04.01.2018 02:00 - 04.01.2018 03:00 (CET/CEST)","n/e","n/e","13097"
"Norway (NO)","04.01.2018 03:00 - 04.01.2018 04:00 (CET/CEST)","n/e","n/e","12874"
"Norway (NO)","04.01.2018 04:00 - 04.01.2018 05:00 (CET/CEST)","n/e","n/e","13000"
"Norway (NO)","04.01.2018 05:00 - 04.01.2018 06:00 (CET/CEST)","n/e","n/e","14318"
"Norway (NO)","04.01.2018 06:00 - 04.01.2018 07:00 (CET/CEST)","n/e","n/e","17899"
"Norway (NO)","04.01.2018 07:00 - 04.01.2018 08:00 (CET/CEST)","n/e","n/e","21315"
"Norway (NO)","04.01.2018 08:00 - 04.01.2018 09:00 (CET/CEST)","n/e","n/e","23075"
"Norway (NO)","04.01.2018 09:00 - 04.01.2018 10:00 (CET/CEST)","n/e","n/e","23303"
"Norway (NO)","04.01.2018 10:00 - 04.01.2018 11:00 (CET/CEST)","n/e","n/e","23537"
"Norway (NO)","04.01.2018 11:00 - 04.01.2018 12:00 (CET/CEST)","n/e","n/e","23566"
"Norway (NO)","04.01.2018 12:00 - 04.01.2018 13:00 (CET/CEST)","n/e","n/e","23583"
"Norway (NO)","04.01.2018 13:00 - 04.01.2018 14:00 (CET/CEST)","n/e","n/e","23650"
"Norway (NO)","04.01.2018 14:00 - 04.01.2018 15:00 (CET/CEST)","n/e","n/e","23652"
"Norway (NO)","04.01.2018 15:00 - 04.01.2018 16:00 (CET/CEST)","n/e","n/e","23827"
"Norway (NO)","04.01.2018 16:00 - 04.01.2018 17:00 (CET/CEST)","n/e","n/e","23832"
"Norway (NO)","04.01.2018 17:00 - 04.01.2018 18:00 (CET/CEST)","n/e","n/e","23550"
"Norway (NO)","04.01.2018 18:00 - 04.01.2018 19:00 (CET/CEST)","n/e","n/e","23473"
"Norway (NO)","04.01.2018 19:00 - 04.01.2018 20:00 (CET/CEST)","n/e","n/e","23040"
"Norway (NO)","04.01.2018 20:00 - 04.01.2018 21:00 (CET/CEST)","n/e","n/e","21683"
"Norway (NO)","04.01.2018 21:00 - 04.01.2018 22:00 (CET/CEST)","n/e","n/e","20582"
"Norway (NO)","04.01.2018 22:00 - 04.01.2018 23:00 (CET/CEST)","n/e","n/e","19391"
"Norway (NO)","04.01.2018 23:00 - 05.01.2018 00:00 (CET/CEST)","n/e","n/e","16585"
"Norway (NO)","05.01.2018 00:00 - 05.01.2018 01:00 (CET/CEST)","n/e","n/e","13922"
"Norway (NO)","05.01.2018 01:00 - 05.01.2018 02:00 (CET/CEST)","n/e","n/e","12183"
"Norway (NO)","05.01.2018 02:00 - 05.01.2018 03:00 (CET/CEST)","n/e","n/e","11152"
"Norway (NO)","05.01.2018 03:00 - 05.01.2018 04:00 (CET/CEST)","n/e","n/e","11037"
"Norway (NO)","05.01.2018 04:00 - 05.01.2018 05:00 (CET/CEST)","n/e","n/e","11535"
"Norway (NO)","05.01.2018 05:00 - 05.01.2018 06:00 (CET/CEST)","n/e","n/e","12636"
"Norway (NO)","05.01.2018 06:00 - 05.01.2018 07:00 (CET/CEST)","n/e","n/e","15999"
"Norway (NO)","05.01.2018 07:00 - 05.01.2018 08:00 (CET/CEST)","n/e","n/e","20313"
"Norway (NO)","05.01.2018 08:00 - 05.01.2018 09:00 (CET/CEST)","n/e","n/e","22155"
"Norway (NO)","05.01.2018 09:00 - 05.01.2018 10:00 (CET/CEST)","n/e","n/e","22916"
"Norway (NO)","05.01.2018 10:00 - 05.01.2018 11:00 (CET/CEST)","n/e","n/e","23380"
"Norway (NO)","05.01.2018 11:00 - 05.01.2018 12:00 (CET/CEST)","n/e","n/e","23248"
"Norway (NO)","05.01.2018 12:00 - 05.01.2018 13:00 (CET/CEST)","n/e","n/e","23108"
"Norway (NO)","05.01.2018 13:00 - 05.01.2018 14:00 (CET/CEST)","n/e","n/e","23039"
"Norway (NO)","05.01.2018 14:00 - 05.01.2018 15:00 (CET/CEST)","n/e","n/e","23185"
"Norway (NO)","05.01.2018 15:00 - 05.01.2018 16:00 (CET/CEST)","n/e","n/e","23687"
"Norway (NO)","05.01.2018 16:00 - 05.01.2018 17:00 (CET/CEST)","n/e","n/e","23956"
"Norway (NO)","05.01.2018 17:00 - 05.01.2018 18:00 (CET/CEST)","n/e","n/e","23793"
"Norway (NO)","05.01.2018 18:00 - 05.01.2018 19:00 (CET/CEST)","n/e","n/e","23317"
"Norway (NO)","05.01.2018 19:00 - 05.01.2018 20:00 (CET/CEST)","n/e","n/e","22656"
"Norway (NO)","05.01.2018 20:00 - 05.01.2018 21:00 (CET/CEST)","n/e","n/e","21931"
"Norway (NO)","05.01.2018 21:00 - 05.01.2018 22:00 (CET/CEST)","n/e","n/e","21173"
"Norway (NO)","05.01.2018 22:00 - 05.01.2018 23:00 (CET/CEST)","n/e","n/e","20232"
"Norway (NO)","05.01.2018 23:00 - 06.01.2018 00:00 (CET/CEST)","n/e","n/e","19071"
"Norway (NO)","06.01.2018 00:00 - 06.01.2018 01:00 (CET/CEST)","n/e","n/e","17945"
"Norway (NO)","06.01.2018 01:00 - 06.01.2018 02:00 (CET/CEST)","n/e","n/e","16009"
"Norway (NO)","06.01.2018 02:00 - 06.01.2018 03:00 (CET/CEST)","n/e","n/e","14244"
"Norway (NO)","06.01.2018 03:00 - 06.01.2018 04:00 (CET/CEST)","n/e","n/e","13436"
"Norway (NO)","06.01.2018 04:00 - 06.01.2018 05:00 (CET/CEST)","n/e","n/e","14229"
"Norway (NO)","06.01.2018 05:00 - 06.01.2018 06:00 (CET/CEST)","n/e","n/e","15690"
"Norway (NO)","06.01.2018 06:00 - 06.01.2018 07:00 (CET/CEST)","n/e","n/e","17245"
"Norway (NO)","06.01.2018 07:00 - 06.01.2018 08:00 (CET/CEST)","n/e","n/e","18880"
"Norway (NO)","06.01.2018 08:00 - 06.01.2018 09:00 (CET/CEST)","n/e","n/e","19794"
"Norway (NO)","06.01.2018 09:00 - 06.01.2018 10:00 (CET/CEST)","n/e","n/e","20596"
"Norway (NO)","06.01.2018 10:00 - 06.01.2018 11:00 (CET/CEST)","n/e","n/e","21566"
"Norway (NO)","06.01.2018 11:00 - 06.01.2018 12:00 (CET/CEST)","n/e","n/e","21847"
"Norway (NO)","06.01.2018 12:00 - 06.01.2018 13:00 (CET/CEST)","n/e","n/e","21438"
"Norway (NO)","06.01.2018 13:00 - 06.01.2018 14:00 (CET/CEST)","n/e","n/e","21233"
"Norway (NO)","06.01.2018 14:00 - 06.01.2018 15:00 (CET/CEST)","n/e","n/e","21135"
"Norway (NO)","06.01.2018 15:00 - 06.01.2018 16:00 (CET/CEST)","n/e","n/e","21841"
"Norway (NO)","06.01.2018 16:00 - 06.01.2018 17:00 (CET/CEST)","n/e","n/e","22891"
"Norway (NO)","06.01.2018 17:00 - 06.01.2018 18:00 (CET/CEST)","n/e","n/e","23159"
"Norway (NO)","06.01.2018 18:00 - 06.01.2018 19:00 (CET/CEST)","n/e","n/e","22694"
