"Area","MTU","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]"
"Italy (IT)","01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","254","34","619"
"Italy (IT)","01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","83","33","502"
"Italy (IT)","01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","77","482","485"
"Italy (IT)","01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","19","631","461"
"Italy (IT)","01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","0","631","455"
"Italy (IT)","01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","0","548","465"
"Italy (IT)","01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","0","529","474"
"Italy (IT)","01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","0","1266","503"
"Italy (IT)","01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","0","1438","564"
"Italy (IT)","01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","0","771","550"
"Italy (IT)","01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","0","399","619"
"Italy (IT)","01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","121","6","643"
"Italy (IT)","01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","584","","825"
"Italy (IT)","01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","302","","761"
"Italy (IT)","01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","15","20","589"
"Italy (IT)","01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","0","122","614"
"Italy (IT)","01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","68","153","716"
"Italy (IT)","01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","128","120","873"
"Italy (IT)","01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","260","91","830"
"Italy (IT)","01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","247","153","817"
"Italy (IT)","01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","240","152","768"
"Italy (IT)","01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","260","12","671"
"Italy (IT)","01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","125","","689"
"Italy (IT)","01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","92","","603"
"Italy (IT)","02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","49","26","483"
"Italy (IT)","02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","54","236","454"
"Italy (IT)","02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","54","689","450"
"Italy (IT)","02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","38","799","436"
"Italy (IT)","02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","0","849","412"
"Italy (IT)","02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","19","975","404"
"Italy (IT)","02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","127","1141","442"
"Italy (IT)","02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","132","1304","477"
"Italy (IT)","02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","132","1603","657"
"Italy (IT)","02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","132","1118","701"
"Italy (IT)","02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","132","393","711"
"Italy (IT)","02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","161","","708"
"Italy (IT)","02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","135","","787"
"Italy (IT)","02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","29","2","698"
"Italy (IT)","02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","28","2","692"
"Italy (IT)","02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","42","2","670"
"Italy (IT)","02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","449","2","845"
"Italy (IT)","02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","2592","","871"
"Italy (IT)","02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","2595","","967"
"Italy (IT)","02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","1834","","798"
"Italy (IT)","02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","859","","768"
"Italy (IT)","02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","537","","661"
"Italy (IT)","02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","434","132","634"
"Italy (IT)","02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","302","154","572"
"Italy (IT)","03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","202","74","424"
"Italy (IT)","03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","130","25","423"
"Italy (IT)","03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","26","130","367"
"Italy (IT)","03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","54","407","350"
"Italy (IT)","03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","54","408","350"
"Italy (IT)","03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","35","441","350"
"Italy (IT)","03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","","522","367"
"Italy (IT)","03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","","414","406"
"Italy (IT)","03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","0","1106","473"
"Italy (IT)","03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","0","942","491"
"Italy (IT)","03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","0","72","535"
"Italy (IT)","03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","4","20","629"
"Italy (IT)","03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","55","22","608"
"Italy (IT)","03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","55","22","515"
"Italy (IT)","03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","68","22","526"
"Italy (IT)","03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","230","21","530"
"Italy (IT)","03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","312","","662"
"Italy (IT)","03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","347","","775"
"Italy (IT)","03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","703","","864"
"Italy (IT)","03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","2028","","863"
"Italy (IT)","03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","1459","","778"
"Italy (IT)","03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","663","","695"
"Italy (IT)","03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","408","","638"
"Italy (IT)","03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","144","23","635"
"Italy (IT)","04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","0","101","617"
"Italy (IT)","04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","0","102","495"
"Italy (IT)","04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","25","65","404"
"Italy (IT)","04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","54","127","401"
"Italy (IT)","04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST)","137","59","402"
"Italy (IT)","04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST)","23","103","423"
"Italy (IT)","04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST)","163","114","739"
"Italy (IT)","04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST)","1112","","806"
"Italy (IT)","04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST)","814","","1144"
"Italy (IT)","04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST)","1881","","1306"
"Italy (IT)","04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST)","1476","","1236"
"Italy (IT)","04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST)","956","","1107"
"Italy (IT)","04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST)","885","2","1298"
"Italy (IT)","04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST)","841","2","1231"
"Italy (IT)","04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST)","433","2","1173"
"Italy (IT)","04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST)","728","","1325"
"Italy (IT)","04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST)","990","","1218"
"Italy (IT)","04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST)","1081","","1197"
"Italy (IT)","04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST)","1429","","1332"
"Italy (IT)","04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST)","1163","","1414"
"Italy (IT)","04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST)","870","1","1293"
"Italy (IT)","04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST)","183","2","900"
"Italy (IT)","04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST)","1","486","780"
"Italy (IT)","04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST)","0","706","704"
"Italy (IT)","05.01.2021 00:00 - 05.01.2021 01:00 (CET/CEST)","0","183","570"
"Italy (IT)","05.01.2021 01:00 - 05.01.2021 02:00 (CET/CEST)","0","169","498"
"Italy (IT)","05.01.2021 02:00 - 05.01.2021 03:00 (CET/CEST)","1","395","484"
"Italy (IT)","05.01.2021 03:00 - 05.01.2021 04:00 (CET/CEST)","0","554","452"
"Italy (IT)","05.01.2021 04:00 - 05.01.2021 05:00 (CET/CEST)","0","395","459"
"Italy (IT)","05.01.2021 05:00 - 05.01.2021 06:00 (CET/CEST)","0","393","561"
"Italy (IT)","05.01.2021 06:00 - 05.01.2021 07:00 (CET/CEST)","19","385","724"
"Italy (IT)","05.01.2021 07:00 - 05.01.2021 08:00 (CET/CEST)","344","142","851"
"Italy (IT)","05.01.2021 08:00 - 05.01.2021 09:00 (CET/CEST)","456","","1212"
"Italy (IT)","05.01.2021 09:00 - 05.01.2021 10:00 (CET/CEST)","973","","1256"
"Italy (IT)","05.01.2021 10:00 - 05.01.2021 11:00 (CET/CEST)","923","","1354"
"Italy (IT)","05.01.2021 11:00 - 05.01.2021 12:00 (CET/CEST)","734","","1562"
"Italy (IT)","05.01.2021 12:00 - 05.01.2021 13:00 (CET/CEST)","977","160","1580"
"Italy (IT)","05.01.2021 13:00 - 05.01.2021 14:00 (CET/CEST)","616","224","1308"
"Italy (IT)","05.01.2021 14:00 - 05.01.2021 15:00 (CET/CEST)","200","223","1355"
