"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","2778"
"France (FR)","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","2562"
"France (FR)","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","2514"
"France (FR)","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","2602"
"France (FR)","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","2676"
"France (FR)","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","2662"
"France (FR)","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","2642"
"France (FR)","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","2597"
"France (FR)","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","2730"
"France (FR)","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","2847"
"France (FR)","01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","2881"
"France (FR)","01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","2757"
"France (FR)","01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","2801"
"France (FR)","01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","2836"
"France (FR)","01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","2763"
"France (FR)","01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","2703"
"France (FR)","01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","2758"
"France (FR)","01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","2919"
"France (FR)","01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","3320"
"France (FR)","01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","3444"
"France (FR)","01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","3217"
"France (FR)","01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","3052"
"France (FR)","01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","2914"
"France (FR)","01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","2834"
"France (FR)","02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST)","2676"
"France (FR)","02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST)","2527"
"France (FR)","02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST)","2519"
"France (FR)","02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST)","2559"
"France (FR)","02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST)","2636"
"France (FR)","02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST)","2640"
"France (FR)","02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST)","2644"
"France (FR)","02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST)","2669"
"France (FR)","02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST)","2776"
"France (FR)","02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST)","2888"
"France (FR)","02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST)","3033"
"France (FR)","02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST)","3097"
"France (FR)","02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST)","3159"
"France (FR)","02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST)","3045"
"France (FR)","02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST)","2892"
"France (FR)","02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST)","3055"
"France (FR)","02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST)","3412"
"France (FR)","02.01.2016 17:00 - 02.01.2016 18:00 (CET/CEST)","3774"
"France (FR)","02.01.2016 18:00 - 02.01.2016 19:00 (CET/CEST)","4206"
"France (FR)","02.01.2016 19:00 - 02.01.2016 20:00 (CET/CEST)","4372"
"France (FR)","02.01.2016 20:00 - 02.01.2016 21:00 (CET/CEST)","3953"
"France (FR)","02.01.2016 21:00 - 02.01.2016 22:00 (CET/CEST)","3547"
"France (FR)","02.01.2016 22:00 - 02.01.2016 23:00 (CET/CEST)","3509"
"France (FR)","02.01.2016 23:00 - 03.01.2016 00:00 (CET/CEST)","3514"
"France (FR)","03.01.2016 00:00 - 03.01.2016 01:00 (CET/CEST)","3368"
"France (FR)","03.01.2016 01:00 - 03.01.2016 02:00 (CET/CEST)","3243"
"France (FR)","03.01.2016 02:00 - 03.01.2016 03:00 (CET/CEST)","3140"
"France (FR)","03.01.2016 03:00 - 03.01.2016 04:00 (CET/CEST)","2910"
"France (FR)","03.01.2016 04:00 - 03.01.2016 05:00 (CET/CEST)","2869"
"France (FR)","03.01.2016 05:00 - 03.01.2016 06:00 (CET/CEST)","2866"
"France (FR)","03.01.2016 06:00 - 03.01.2016 07:00 (CET/CEST)","2965"
"France (FR)","03.01.2016 07:00 - 03.01.2016 08:00 (CET/CEST)","3139"
"France (FR)","03.01.2016 08:00 - 03.01.2016 09:00 (CET/CEST)","3271"
"France (FR)","03.01.2016 09:00 - 03.01.2016 10:00 (CET/CEST)","3443"
"France (FR)","03.01.2016 10:00 - 03.01.2016 11:00 (CET/CEST)","3634"
"France (FR)","03.01.2016 11:00 - 03.01.2016 12:00 (CET/CEST)","3692"
"France (FR)","03.01.2016 12:00 - 03.01.2016 13:00 (CET/CEST)","3697"
"France (FR)","03.01.2016 13:00 - 03.01.2016 14:00 (CET/CEST)","3538"
"France (FR)","03.01.2016 14:00 - 03.01.2016 15:00 (CET/CEST)","3324"
