"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","03.01.2020 23:00 - 04.01.2020 00:00 (CET/CEST)","5462"
"France (FR)","04.01.2020 00:00 - 04.01.2020 01:00 (CET/CEST)","5233"
"France (FR)","04.01.2020 01:00 - 04.01.2020 02:00 (CET/CEST)","4781"
"France (FR)","04.01.2020 02:00 - 04.01.2020 03:00 (CET/CEST)","4631"
"France (FR)","04.01.2020 03:00 - 04.01.2020 04:00 (CET/CEST)","4573"
"France (FR)","04.01.2020 04:00 - 04.01.2020 05:00 (CET/CEST)","4537"
"France (FR)","04.01.2020 05:00 - 04.01.2020 06:00 (CET/CEST)","4620"
"France (FR)","04.01.2020 06:00 - 04.01.2020 07:00 (CET/CEST)","4727"
"France (FR)","04.01.2020 07:00 - 04.01.2020 08:00 (CET/CEST)","4856"
"France (FR)","04.01.2020 08:00 - 04.01.2020 09:00 (CET/CEST)","5071"
"France (FR)","04.01.2020 09:00 - 04.01.2020 10:00 (CET/CEST)","5383"
"France (FR)","04.01.2020 10:00 - 04.01.2020 11:00 (CET/CEST)","5448"
"France (FR)","04.01.2020 11:00 - 04.01.2020 12:00 (CET/CEST)","5348"
"France (FR)","04.01.2020 12:00 - 04.01.2020 13:00 (CET/CEST)","5051"
"France (FR)","04.01.2020 13:00 - 04.01.2020 14:00 (CET/CEST)","4883"
"France (FR)","04.01.2020 14:00 - 04.01.2020 15:00 (CET/CEST)","4787"
"France (FR)","04.01.2020 15:00 - 04.01.2020 16:00 (CET/CEST)","4760"
"France (FR)","04.01.2020 16:00 - 04.01.2020 17:00 (CET/CEST)","4888"
"France (FR)","04.01.2020 17:00 - 04.01.2020 18:00 (CET/CEST)","5440"
"France (FR)","04.01.2020 18:00 - 04.01.2020 19:00 (CET/CEST)","5868"
"France (FR)","04.01.2020 19:00 - 04.01.2020 20:00 (CET/CEST)","6102"
"France (FR)","04.01.2020 20:00 - 04.01.2020 21:00 (CET/CEST)","5678"
"France (FR)","04.01.2020 21:00 - 04.01.2020 22:00 (CET/CEST)","5400"
"France (FR)","04.01.2020 22:00 - 04.01.2020 23:00 (CET/CEST)","5293"
"France (FR)","04.01.2020 23:00 - 05.01.2020 00:00 (CET/CEST)","5041"
"France (FR)","05.01.2020 00:00 - 05.01.2020 01:00 (CET/CEST)","4826"
"France (FR)","05.01.2020 01:00 - 05.01.2020 02:00 (CET/CEST)","4730"
"France (FR)","05.01.2020 02:00 - 05.01.2020 03:00 (CET/CEST)","4479"
"France (FR)","05.01.2020 03:00 - 05.01.2020 04:00 (CET/CEST)","4247"
"France (FR)","05.01.2020 04:00 - 05.01.2020 05:00 (CET/CEST)","4069"
"France (FR)","05.01.2020 05:00 - 05.01.2020 06:00 (CET/CEST)","3960"
"France (FR)","05.01.2020 06:00 - 05.01.2020 07:00 (CET/CEST)","3981"
"France (FR)","05.01.2020 07:00 - 05.01.2020 08:00 (CET/CEST)","4245"
"France (FR)","05.01.2020 08:00 - 05.01.2020 09:00 (CET/CEST)","4434"
"France (FR)","05.01.2020 09:00 - 05.01.2020 10:00 (CET/CEST)","4653"
"France (FR)","05.01.2020 10:00 - 05.01.2020 11:00 (CET/CEST)","4754"
"France (FR)","05.01.2020 11:00 - 05.01.2020 12:00 (CET/CEST)","4821"
"France (FR)","05.01.2020 12:00 - 05.01.2020 13:00 (CET/CEST)","4742"
"France (FR)","05.01.2020 13:00 - 05.01.2020 14:00 (CET/CEST)","4615"
"France (FR)","05.01.2020 14:00 - 05.01.2020 15:00 (CET/CEST)","4594"
"France (FR)","05.01.2020 15:00 - 05.01.2020 16:00 (CET/CEST)","4518"
"France (FR)","05.01.2020 16:00 - 05.01.2020 17:00 (CET/CEST)","4730"
"France (FR)","05.01.2020 17:00 - 05.01.2020 18:00 (CET/CEST)","5139"
"France (FR)","05.01.2020 18:00 - 05.01.2020 19:00 (CET/CEST)","5815"
"France (FR)","05.01.2020 19:00 - 05.01.2020 20:00 (CET/CEST)","6087"
"France (FR)","05.01.2020 20:00 - 05.01.2020 21:00 (CET/CEST)","5920"
"France (FR)","05.01.2020 21:00 - 05.01.2020 22:00 (CET/CEST)","5567"
"France (FR)","05.01.2020 22:00 - 05.01.2020 23:00 (CET/CEST)","5191"
"France (FR)","05.01.2020 23:00 - 06.01.2020 00:00 (CET/CEST)","4713"
"France (FR)","06.01.2020 00:00 - 06.01.2020 01:00 (CET/CEST)","4259"
"France (FR)","06.01.2020 01:00 - 06.01.2020 02:00 (CET/CEST)","4065"
"France (FR)","06.01.2020 02:00 - 06.01.2020 03:00 (CET/CEST)","3967"
"France (FR)","06.01.2020 03:00 - 06.01.2020 04:00 (CET/CEST)","3907"
"France (FR)","06.01.2020 04:00 - 06.01.2020 05:00 (CET/CEST)","3904"
"France (FR)","06.01.2020 05:00 - 06.01.2020 06:00 (CET/CEST)","3924"
"France (FR)","06.01.2020 06:00 - 06.01.2020 07:00 (CET/CEST)","4199"
"France (FR)","06.01.2020 07:00 - 06.01.2020 08:00 (CET/CEST)","4839"
"France (FR)","06.01.2020 08:00 - 06.01.2020 09:00 (CET/CEST)","5427"
"France (FR)","06.01.2020 09:00 - 06.01.2020 10:00 (CET/CEST)","5657"
"France (FR)","06.01.2020 10:00 - 06.01.2020 11:00 (CET/CEST)","5627"
"France (FR)","06.01.2020 11:00 - 06.01.2020 12:00 (CET/CEST)","5483"
"France (FR)","06.01.2020 12:00 - 06.01.2020 13:00 (CET/CEST)","5182"
"France (FR)","06.01.2020 13:00 - 06.01.2020 14:00 (CET/CEST)","4956"
"France (FR)","06.01.2020 14:00 - 06.01.2020 15:00 (CET/CEST)","4650"
"France (FR)","06.01.2020 15:00 - 06.01.2020 16:00 (CET/CEST)","4811"
"France (FR)","06.01.2020 16:00 - 06.01.2020 17:00 (CET/CEST)","5016"
"France (FR)","06.01.2020 17:00 - 06.01.2020 18:00 (CET/CEST)","5714"
"France (FR)","06.01.2020 18:00 - 06.01.2020 19:00 (CET/CEST)","6196"
"France (FR)","06.01.2020 19:00 - 06.01.2020 20:00 (CET/CEST)","6487"
"France (FR)","06.01.2020 20:00 - 06.01.2020 21:00 (CET/CEST)","6386"
"France (FR)","06.01.2020 21:00 - 06.01.2020 22:00 (CET/CEST)","5859"
"France (FR)","06.01.2020 22:00 - 06.01.2020 23:00 (CET/CEST)","5451"
"France (FR)","06.01.2020 23:00 - 07.01.2020 00:00 (CET/CEST)","5065"
"France (FR)","07.01.2020 00:00 - 07.01.2020 01:00 (CET/CEST)","4371"
"France (FR)","07.01.2020 01:00 - 07.01.2020 02:00 (CET/CEST)","4148"
"France (FR)","07.01.2020 02:00 - 07.01.2020 03:00 (CET/CEST)","4070"
