"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","3192"
"France (FR)","01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","3048"
"France (FR)","01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","2866"
"France (FR)","01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","2862"
"France (FR)","01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","2730"
"France (FR)","01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","2523"
"France (FR)","01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","2504"
"France (FR)","01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","2584"
"France (FR)","01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","2710"
"France (FR)","01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","2721"
"France (FR)","01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","2786"
"France (FR)","01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","2811"
"France (FR)","01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","3036"
"France (FR)","01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","3147"
"France (FR)","01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","3101"
"France (FR)","01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","2925"
"France (FR)","01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","2814"
"France (FR)","01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","3104"
"France (FR)","01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","3596"
"France (FR)","01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","3696"
"France (FR)","01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","3355"
"France (FR)","01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","3325"
"France (FR)","01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","3323"
"France (FR)","01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","3150"
"France (FR)","02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","2760"
"France (FR)","02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","2744"
"France (FR)","02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","2672"
"France (FR)","02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","2613"
"France (FR)","02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","2515"
