"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","5832"
"France (FR)","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","5786"
"France (FR)","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","5593"
"France (FR)","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","5507"
"France (FR)","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","5261"
"France (FR)","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","5233"
"France (FR)","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","5345"
"France (FR)","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","5462"
"France (FR)","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","5504"
"France (FR)","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","5764"
"France (FR)","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","5718"
"France (FR)","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","5781"
"France (FR)","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","5870"
"France (FR)","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","5741"
"France (FR)","01.01.2018 14:00 - 01.01.2018 15:00 (CET/CEST)","5775"
"France (FR)","01.01.2018 15:00 - 01.01.2018 16:00 (CET/CEST)","5780"
"France (FR)","01.01.2018 16:00 - 01.01.2018 17:00 (CET/CEST)","5750"
"France (FR)","01.01.2018 17:00 - 01.01.2018 18:00 (CET/CEST)","5848"
"France (FR)","01.01.2018 18:00 - 01.01.2018 19:00 (CET/CEST)","6065"
"France (FR)","01.01.2018 19:00 - 01.01.2018 20:00 (CET/CEST)","6258"
"France (FR)","01.01.2018 20:00 - 01.01.2018 21:00 (CET/CEST)","6099"
"France (FR)","01.01.2018 21:00 - 01.01.2018 22:00 (CET/CEST)","5815"
"France (FR)","01.01.2018 22:00 - 01.01.2018 23:00 (CET/CEST)","5991"
"France (FR)","01.01.2018 23:00 - 02.01.2018 00:00 (CET/CEST)","6019"
"France (FR)","02.01.2018 00:00 - 02.01.2018 01:00 (CET/CEST)","5894"
"France (FR)","02.01.2018 01:00 - 02.01.2018 02:00 (CET/CEST)","5756"
"France (FR)","02.01.2018 02:00 - 02.01.2018 03:00 (CET/CEST)","5871"
"France (FR)","02.01.2018 03:00 - 02.01.2018 04:00 (CET/CEST)","5709"
"France (FR)","02.01.2018 04:00 - 02.01.2018 05:00 (CET/CEST)","5561"
"France (FR)","02.01.2018 05:00 - 02.01.2018 06:00 (CET/CEST)","5507"
"France (FR)","02.01.2018 06:00 - 02.01.2018 07:00 (CET/CEST)","5601"
"France (FR)","02.01.2018 07:00 - 02.01.2018 08:00 (CET/CEST)","5955"
"France (FR)","02.01.2018 08:00 - 02.01.2018 09:00 (CET/CEST)","6147"
"France (FR)","02.01.2018 09:00 - 02.01.2018 10:00 (CET/CEST)","6279"
"France (FR)","02.01.2018 10:00 - 02.01.2018 11:00 (CET/CEST)","6471"
"France (FR)","02.01.2018 11:00 - 02.01.2018 12:00 (CET/CEST)","6381"
"France (FR)","02.01.2018 12:00 - 02.01.2018 13:00 (CET/CEST)","6353"
"France (FR)","02.01.2018 13:00 - 02.01.2018 14:00 (CET/CEST)","6475"
"France (FR)","02.01.2018 14:00 - 02.01.2018 15:00 (CET/CEST)","6390"
"France (FR)","02.01.2018 15:00 - 02.01.2018 16:00 (CET/CEST)","6263"
"France (FR)","02.01.2018 16:00 - 02.01.2018 17:00 (CET/CEST)","6193"
"France (FR)","02.01.2018 17:00 - 02.01.2018 18:00 (CET/CEST)","6450"
"France (FR)","02.01.2018 18:00 - 02.01.2018 19:00 (CET/CEST)","6461"
"France (FR)","02.01.2018 19:00 - 02.01.2018 20:00 (CET/CEST)","6461"
"France (FR)","02.01.2018 20:00 - 02.01.2018 21:00 (CET/CEST)","6258"
"France (FR)","02.01.2018 21:00 - 02.01.2018 22:00 (CET/CEST)","6096"
"France (FR)","02.01.2018 22:00 - 02.01.2018 23:00 (CET/CEST)","6158"
"France (FR)","02.01.2018 23:00 - 03.01.2018 00:00 (CET/CEST)","6303"
"France (FR)","03.01.2018 00:00 - 03.01.2018 01:00 (CET/CEST)","6237"
"France (FR)","03.01.2018 01:00 - 03.01.2018 02:00 (CET/CEST)","6044"
"France (FR)","03.01.2018 02:00 - 03.01.2018 03:00 (CET/CEST)","6053"
"France (FR)","03.01.2018 03:00 - 03.01.2018 04:00 (CET/CEST)","6027"
"France (FR)","03.01.2018 04:00 - 03.01.2018 05:00 (CET/CEST)","5830"
"France (FR)","03.01.2018 05:00 - 03.01.2018 06:00 (CET/CEST)","5815"
"France (FR)","03.01.2018 06:00 - 03.01.2018 07:00 (CET/CEST)","5932"
"France (FR)","03.01.2018 07:00 - 03.01.2018 08:00 (CET/CEST)","6016"
"France (FR)","03.01.2018 08:00 - 03.01.2018 09:00 (CET/CEST)","6184"
"France (FR)","03.01.2018 09:00 - 03.01.2018 10:00 (CET/CEST)","6275"
"France (FR)","03.01.2018 10:00 - 03.01.2018 11:00 (CET/CEST)","6274"
"France (FR)","03.01.2018 11:00 - 03.01.2018 12:00 (CET/CEST)","6557"
"France (FR)","03.01.2018 12:00 - 03.01.2018 13:00 (CET/CEST)","6623"
"France (FR)","03.01.2018 13:00 - 03.01.2018 14:00 (CET/CEST)","6633"
"France (FR)","03.01.2018 14:00 - 03.01.2018 15:00 (CET/CEST)","6634"
"France (FR)","03.01.2018 15:00 - 03.01.2018 16:00 (CET/CEST)","6564"
"France (FR)","03.01.2018 16:00 - 03.01.2018 17:00 (CET/CEST)","6546"
"France (FR)","03.01.2018 17:00 - 03.01.2018 18:00 (CET/CEST)","6628"
"France (FR)","03.01.2018 18:00 - 03.01.2018 19:00 (CET/CEST)","6773"
"France (FR)","03.01.2018 19:00 - 03.01.2018 20:00 (CET/CEST)","6782"
"France (FR)","03.01.2018 20:00 - 03.01.2018 21:00 (CET/CEST)","6744"
"France (FR)","03.01.2018 21:00 - 03.01.2018 22:00 (CET/CEST)","6710"
"France (FR)","03.01.2018 22:00 - 03.01.2018 23:00 (CET/CEST)","6506"
"France (FR)","03.01.2018 23:00 - 04.01.2018 00:00 (CET/CEST)","6487"
"France (FR)","04.01.2018 00:00 - 04.01.2018 01:00 (CET/CEST)","6527"
"France (FR)","04.01.2018 01:00 - 04.01.2018 02:00 (CET/CEST)","6537"
"France (FR)","04.01.2018 02:00 - 04.01.2018 03:00 (CET/CEST)","6505"
"France (FR)","04.01.2018 03:00 - 04.01.2018 04:00 (CET/CEST)","6507"
"France (FR)","04.01.2018 04:00 - 04.01.2018 05:00 (CET/CEST)","6425"
"France (FR)","04.01.2018 05:00 - 04.01.2018 06:00 (CET/CEST)","6273"
"France (FR)","04.01.2018 06:00 - 04.01.2018 07:00 (CET/CEST)","6413"
"France (FR)","04.01.2018 07:00 - 04.01.2018 08:00 (CET/CEST)","6521"
"France (FR)","04.01.2018 08:00 - 04.01.2018 09:00 (CET/CEST)","6556"
"France (FR)","04.01.2018 09:00 - 04.01.2018 10:00 (CET/CEST)","6503"
"France (FR)","04.01.2018 10:00 - 04.01.2018 11:00 (CET/CEST)","6655"
"France (FR)","04.01.2018 11:00 - 04.01.2018 12:00 (CET/CEST)","6738"
"France (FR)","04.01.2018 12:00 - 04.01.2018 13:00 (CET/CEST)","6807"
"France (FR)","04.01.2018 13:00 - 04.01.2018 14:00 (CET/CEST)","6812"
"France (FR)","04.01.2018 14:00 - 04.01.2018 15:00 (CET/CEST)","6720"
"France (FR)","04.01.2018 15:00 - 04.01.2018 16:00 (CET/CEST)","6513"
"France (FR)","04.01.2018 16:00 - 04.01.2018 17:00 (CET/CEST)","6328"
"France (FR)","04.01.2018 17:00 - 04.01.2018 18:00 (CET/CEST)","6535"
"France (FR)","04.01.2018 18:00 - 04.01.2018 19:00 (CET/CEST)","6549"
"France (FR)","04.01.2018 19:00 - 04.01.2018 20:00 (CET/CEST)","6560"
"France (FR)","04.01.2018 20:00 - 04.01.2018 21:00 (CET/CEST)","6373"
"France (FR)","04.01.2018 21:00 - 04.01.2018 22:00 (CET/CEST)","6257"
"France (FR)","04.01.2018 22:00 - 04.01.2018 23:00 (CET/CEST)","6140"
"France (FR)","04.01.2018 23:00 - 05.01.2018 00:00 (CET/CEST)","6024"
"France (FR)","05.01.2018 00:00 - 05.01.2018 01:00 (CET/CEST)","6119"
"France (FR)","05.01.2018 01:00 - 05.01.2018 02:00 (CET/CEST)","6032"
"France (FR)","05.01.2018 02:00 - 05.01.2018 03:00 (CET/CEST)","5991"
"France (FR)","05.01.2018 03:00 - 05.01.2018 04:00 (CET/CEST)","5974"
"France (FR)","05.01.2018 04:00 - 05.01.2018 05:00 (CET/CEST)","6028"
"France (FR)","05.01.2018 05:00 - 05.01.2018 06:00 (CET/CEST)","5998"
"France (FR)","05.01.2018 06:00 - 05.01.2018 07:00 (CET/CEST)","5879"
"France (FR)","05.01.2018 07:00 - 05.01.2018 08:00 (CET/CEST)","5981"
"France (FR)","05.01.2018 08:00 - 05.01.2018 09:00 (CET/CEST)","5981"
"France (FR)","05.01.2018 09:00 - 05.01.2018 10:00 (CET/CEST)","6043"
"France (FR)","05.01.2018 10:00 - 05.01.2018 11:00 (CET/CEST)","6119"
"France (FR)","05.01.2018 11:00 - 05.01.2018 12:00 (CET/CEST)","6132"
"France (FR)","05.01.2018 12:00 - 05.01.2018 13:00 (CET/CEST)","6152"
"France (FR)","05.01.2018 13:00 - 05.01.2018 14:00 (CET/CEST)","6117"
"France (FR)","05.01.2018 14:00 - 05.01.2018 15:00 (CET/CEST)","6065"
"France (FR)","05.01.2018 15:00 - 05.01.2018 16:00 (CET/CEST)","6088"
"France (FR)","05.01.2018 16:00 - 05.01.2018 17:00 (CET/CEST)","6141"
"France (FR)","05.01.2018 17:00 - 05.01.2018 18:00 (CET/CEST)","6176"
"France (FR)","05.01.2018 18:00 - 05.01.2018 19:00 (CET/CEST)","6162"
"France (FR)","05.01.2018 19:00 - 05.01.2018 20:00 (CET/CEST)","6135"
"France (FR)","05.01.2018 20:00 - 05.01.2018 21:00 (CET/CEST)","5998"
"France (FR)","05.01.2018 21:00 - 05.01.2018 22:00 (CET/CEST)","5952"
"France (FR)","05.01.2018 22:00 - 05.01.2018 23:00 (CET/CEST)","5950"
"France (FR)","05.01.2018 23:00 - 06.01.2018 00:00 (CET/CEST)","5941"
"France (FR)","06.01.2018 00:00 - 06.01.2018 01:00 (CET/CEST)","5829"
"France (FR)","06.01.2018 01:00 - 06.01.2018 02:00 (CET/CEST)","5798"
"France (FR)","06.01.2018 02:00 - 06.01.2018 03:00 (CET/CEST)","5838"
"France (FR)","06.01.2018 03:00 - 06.01.2018 04:00 (CET/CEST)","5857"
"France (FR)","06.01.2018 04:00 - 06.01.2018 05:00 (CET/CEST)","5855"
"France (FR)","06.01.2018 05:00 - 06.01.2018 06:00 (CET/CEST)","5841"
"France (FR)","06.01.2018 06:00 - 06.01.2018 07:00 (CET/CEST)","5761"
